Assessment Unit Code	Assessment Unit Name	Major Commodity	Cumulative Oil (MMBO)	Remaining Oil (MMBO)	Known Oil (MMBO)	Cumulative Gas (BCFG)	Remaining Gas (BCFG)	Known Gas (BCFG)	Cumulative NGL (MMBNGL)	Remaining NGL (MMBNGL)	Known NGL (MMBNGL)	Total Cumulative Petroleum (MMBOE)	Total Remaining Petroleum (MMBOE)	Total Known Petroleum (MMBOE)	Mean Undiscovered Oil (MMBO)	Mean Undiscovered Gas (BCFG)	Mean Undiscovered NGL (MMBNGL)	Total Mean Undiscovered Petroleum (MMBOE)	Oil Endowment (MMBO)	Gas Endowment (BCFG)	NGL Endowment (MMBNGL)	Total Petroleum Endowment (MMBOE)	"Discovery Maturity, Oil (%)"	"Discovery Maturity, Gas (%)"	"Discovery Maturity, NGL (%)"	"Discovery Maturity, Total Petroleum (%)"	Future Oil (MMBO)	Future Gas (BCFG)	Future NGL (MMBNGL)	Total Future Petroleum (MMBOE)
10080101	Northwest Izhma-Pechora Depression	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	120	5	43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10080102	Main Basin Platform	Oil	2543	10442	12985	892	19623	20515	15	183	199	2707	13895	16603	4938	14515	650	8006	17922	35030	848	24609	72	59	23	67	15379	34138	833	21902
10080103	Foredeep Basins	Gas	803	-719	84	11482	4635	16117	347	170	517	3064	224	3288	214	19891	800	4329	299	36008	1317	7616	28	45	39	43	-504	24526	970	4553
10090101	Carboniferous-Lower Permian Clastics	Gas	110	1501	1611	35453	23645	59098	119	81	200	6137	5523	11660	251	14735	457	3163	1862	73833	656	14823	87	80	30	79	1752	38380	538	8686
10090102	Devonian Synrift	Oil	0	0	0	0	0	0	0	0	0	0	0	0	848	9317	405	2806	848	9317	405	2806	0	0	0	0	848	9317	405	2806
10090103	Continuous Basin-Centered Gas Accumulation	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10150101	Supra-Domanik Carbonates/Clastics	Oil	19973	14931	34904	4508	72570	77078	293	564	857	21018	27590	48607	1676	1141	47	1913	36580	78218	904	50520	95	99	95	96	16607	73710	611	29503
10150102	Lower Volga	Oil	1803	726	2529	6618	3314	9932	11	53	64	2917	1331	4248	148	558	21	262	2677	10490	84	4510	94	95	75	94	874	3873	73	1593
10150103	Sub-Domanik Devonian Clastics	Oil	20807	5632	26439	4720	4728	9448	0	175	175	21594	6595	28189	682	695	37	836	27121	10144	212	29024	97	93	82	97	6314	5423	212	7430
10150104	Self-Sourced Domanik	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
