Province Code	Province Name	Field Type	Estimated Mean Number of Undiscovered Fields	Units for Minimum Field Size	Minimum Field Size	Percent of Fields in 0.5 to 1 MMBOE	Percent of Fields in 1 to 2 MMBOE	Percent of Fields in 2 to 4 MMBOE	Percent of Fields in 4 to 8 MMBOE	Percent of Fields in 8 to 16 MMBOE	Percent of Fields in 16 to 32 MMBOE	Percent of Fields in 32 to 64 MMBOE	Percent of Fields in 64 to 128 MMBOE	Percent of Fields in 128 to 256 MMBOE	Percent of Fields in 256 to 512 MMBOE	"Percent of Fields in 512 to 1,024 MMBOE"	"Percent of Fields in 1,024 to 2,048 MMBOE"	"Percent of Fields in 2,048 to 4,096 MMBOE"	"Percent of Fields in 4,096 to 8,192 MMBOE"	"Percent of Fields in 8,192 to 16,384 MMBOE"	"Percent of Fields in 16,384 to 32,768 MMBOE"	"Percent of Fields in 32,768 to 65,536 MMBOE"	"Percent of Fields in >65,536 MMBOE"																		
1008	Timan-Pechora Basin	oil	132	MMBO	5	0.00	0.00	0.00	12.26	29.75	25.61	16.63	9.23	4.29	1.65	0.51	0.08	0.00	0.00	0.00	0.00	0.00	0.00																		
1008	Timan-Pechora Basin	gas	139	BCFG	30	0.00	0.00	0.00	5.08	24.94	27.90	20.29	12.33	6.10	2.43	0.78	0.16	0.00	0.00	0.00	0.00	0.00	0.00																		
1009	Dnieper-Donets Basin	oil	35	MMBO	3	0.00	0.00	2.03	15.59	29.58	26.11	15.79	7.38	2.68	0.71	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
1009	Dnieper-Donets Basin	gas	170	BCFG	18	0.00	0.00	9.77	30.52	25.90	17.72	9.75	4.35	1.55	0.40	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
1015	Volga-Urals Region	oil	501	MMBO	1	0.00	36.02	30.86	18.64	9.18	3.72	1.24	0.30	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
1015	Volga-Urals Region	gas	57	BCFG	6	0.00	10.74	22.33	31.85	21.39	9.68	3.17	0.73	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
1016	North Caspian Basin	oil	235	MMBO	3	0.00	0.00	1.08	11.83	24.01	26.36	15.74	9.28	5.71	3.05	1.50	0.80	0.40	0.17	0.07	0.02	0.00	0.00																		
1016	North Caspian Basin	gas	169	BCFG	18	0.00	0.00	7.34	26.76	23.84	19.86	8.85	4.57	3.26	2.57	1.67	0.84	0.32	0.10	0.02	0.00	0.00	0.00																		
1050	South Barents Basin	oil	4	MMBO	20	0.00	0.00	0.00	0.00	0.00	33.36	41.42	17.57	5.88	1.52	0.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
1050	South Barents Basin	gas	110	BCFG	120	0.00	0.00	0.00	0.00	0.00	22.92	25.85	18.98	13.56	8.90	5.23	2.71	1.24	0.49	0.14	0.00	0.00	0.00																		
1059	Ludlov Saddle	oil	1	MMBO	20	0.00	0.00	0.00	0.00	0.00	33.36	41.42	17.57	5.88	1.52	0.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
1059	Ludlov Saddle	gas	19	BCFG	120	0.00	0.00	0.00	0.00	0.00	22.92	25.85	18.98	13.56	8.90	5.23	2.71	1.24	0.49	0.14	0.00	0.00	0.00																		
1060	North Barents Basin	oil	3	MMBO	20	0.00	0.00	0.00	0.00	0.00	42.16	41.06	12.96	3.22	0.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
1060	North Barents Basin	gas	61	BCFG	120	0.00	0.00	0.00	0.00	0.00	24.34	29.01	19.99	12.95	7.50	3.79	1.65	0.61	0.16	0.00	0.00	0.00	0.00																		
