Assessment Unit Code	Assessment Unit Name	Field Type	Resource Type	Units for Minimum Field Size	Minimum Field Size	Assessment Unit Probability	Units for Fractiles	F100	F95	F90	F85	F80	F75	F70	F65	F60	F55	F50	F45	F40	F35	F30	F25	F20	F15	F10	F5	F0
10080101	Northwest Izhma-Pechora Depression	oil	oil	MMBO	5	0.4	MMBO	0	0	0	0	0	0	0	0	0	0	0	0	5.606488579	17.29247193	23.98648574	30.70928254	38.37086908	46.93957861	57.99280971	75.68917367	297.0830554
10080101	Northwest Izhma-Pechora Depression	oil	gas	MMBO	5	0.4	BCFG	0	0	0	0	0	0	0	0	0	0	0	0	3.344952266	11.70549694	16.13340459	20.92195025	26.23307602	32.45034378	40.56345856	54.00540749	244.647503
10080101	Northwest Izhma-Pechora Depression	oil	NGL	MMBO	5	0.4	MMBNGL	0	0	0	0	0	0	0	0	0	0	0	0	0.168859457	0.654745583	0.935840658	1.21653244	1.52804304	1.922902264	2.423662812	3.282720998	13.71768399
10080101	Northwest Izhma-Pechora Depression	oil	largest	MMBO	5	0.4	MMBO	5.086523705	7.735286088	8.922149543	9.925608736	10.9089008	11.87503057	12.85292294	13.84395205	14.91297233	16.07035926	17.33971056	18.77395637	20.29932762	22.07807424	24.25004336	26.83297569	30.09097913	34.69697263	41.60366682	55.2388582	149.6812244
10080101	Northwest Izhma-Pechora Depression	gas	gas	BCFG	30	0.4	BCFG	0	0	0	0	0	0	0	0	0	0	0	0	33.55984978	104.1526909	143.6069674	183.3878428	228.2384566	280.9750398	347.9183615	458.7088745	1412.660817
10080101	Northwest Izhma-Pechora Depression	gas	liquids	BCFG	30	0.4	MMBL	0	0	0	0	0	0	0	0	0	0	0	0	1.05975296	3.925510788	5.517678239	7.104285876	8.857806722	11.04327019	13.9340092	18.59251729	66.55030917
10080101	Northwest Izhma-Pechora Depression	gas	largest	BCFG	30	0.4	BCFG	30.6322792	46.12082233	53.2739176	59.40840163	65.26218756	70.78235395	76.55956846	82.63133807	88.98986981	95.8558687	103.2470076	111.6060061	121.1028568	132.2786121	145.2403116	161.287612	181.0044353	208.9314366	251.2092196	332.8988286	899.4575663
10080102	Main Basin Platform	oil	oil	MMBO	5	1	MMBO	1148.84612	2462.361331	2805.380861	3068.5507	3308.685568	3535.735858	3749.930379	3973.621765	4196.551022	4423.120004	4661.021294	4912.019504	5184.393433	5470.931191	5768.410419	6098.602353	6487.851466	6933.344313	7490.864279	8297.923281	13062.25475
10080102	Main Basin Platform	oil	gas	MMBO	5	1	BCFG	648.3826206	1579.198173	1838.325296	2029.291696	2207.116865	2379.955005	2545.707488	2704.780664	2865.748001	3029.990185	3208.123358	3394.986742	3588.091647	3800.588395	4033.943014	4286.166001	4586.465649	4948.876955	5412.893402	6144.269149	11440.90037
10080102	Main Basin Platform	oil	NGL	MMBO	5	1	MMBNGL	30.01714241	85.3578615	101.0959174	113.9775093	125.237992	135.6237748	145.9858281	156.1911674	166.4189028	177.1919761	188.375268	200.4197985	212.8184317	226.5042431	242.0271447	259.5493165	279.4861912	305.1075446	339.8108165	393.3760155	934.491583
