Assessment Unit Code	Assessment Unit Name	Number of Oil Fields	Oil Volume in Oil Fields (MMBO)	Gas Volume in Oil Fields (BCFG)	NGL Volume in Oil Fields (MMBO)	Number of Gas Fields	Oil Volume in Gas Fields (MMBO)	Gas Volume in Gas Fields (BCFG)	NGL Volume in Gas Fields (MMBO)	Number of N Fields	Oil Volume in N Fields (MMBO)	Gas Volume in N Fields (BCFG)	NGL Volume in N Fields (MMBO)	Total Number of Fields	Total Oil Volume (MMBO)	Total Gas Volume (BCFG)	Total NGL Volume (MMBO)	"First Third or Half, Oil Fields, Year Start"	"First Third or Half, Oil Fields, Year End"	"First Third or Half, Number of Oil Fields"	"First Third or Half, Oil Volume in Oil Fields (MMBO)"	"First Third or Half, Mean Oil-Field Size (MMBO)"	"First Third or Half, Median Oil-Field Size (MMBO)"	"Second Third or Half, Oil Fields, Year End"	"Second Third or Half, Number of Oil Fields"	"Second Third or Half, Oil Volume in Oil Fields (MMBO)"	"Second Third or Half, Mean Oil-Field Size (MMBO)"	"Second Third or Half, Median Oil-Field Size (MMBO)"	"Third Third, Oil Fields, Year End"	"Third Third, Number of Oil Fields"	"Third Third, Oil Volume in Oil Fields (MMBO)"	"Third Third, Mean Oil-Field Size (MMBO)"	"Third Third, Median Oil-Field Size (MMBO)"	"Overall, Mean Oil-Field Size (MMBO)"	"Overall, Median Oil-Field Size (MMBO)"	"First Third or Half, Gas Fields, Year Start"	"First Third or Half, Gas Fields, Year End"	"First Third or Half, Number of Gas Fields"	"First Third or Half, Gas Volume in Gas Fields (BCFG)"	"First Third or Half, Mean Gas-Field Size (BCFG)"	"First Third or Half, Median Gas-Field Size (BCFG)"	"Second Third or Half, Gas Fields, Year End"	"Second Third or Half, Number of Gas Fields"	"Second Third or Half, Gas Volume in Gas Fields (BCFG)"	"Second Third or Half, Mean Gas-Field Size (BCFG)"	"Second Third or Half, Median Gas-Field Size (BCFG)"	"Third Third, Gas Fields, Year End"	"Third Third, Number of Gas Fields"	"Third Third, Gas Volume in Gas Fields (BCFG)"	"Third Third, Mean Gas-Field Size (BCFG)"	"Third Third, Median Gas-Field Size (BCFG)"	"Overall, Mean Gas-Field Size (BCFG)"	"Overall, Median Gas-Field Size (BCFG)"
10080102	Main Basin Platform	173	18420	2476	25	26	163	22094	218	22	0	12	0	221	18583	24582	243	1930	1981	58	10987	189	46	1989	58	4849	84	28	1995	57	2584	45	27	106	30	1935	1960	9	673	75	21	1974	9	14198	1578	209	1986	8	7223	903	293	850	89
10080103	Foredeep Basins	3	111	216	0	16	8	17199	542	1	NA	NA	NA	20	118	17414	542	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1959	1970	5	16048	3210	232	1981	6	595	99	39	1990	5	556	111	60	1075	56
10090101	Carboniferous-Lower Permian Clastics	25	1675	2720	0	71	63	63291	232	100	1	9	0	196	1739	66020	232	1950	1976	8	1547	193	115	1985	9	75	8	2	1992	8	53	7	5	67	6	1950	1966	24	32513	1355	380	1979	24	26556	1106	117	1991	23	4222	184	86	891	144
10150101	Supra-Domanik Carbonates/Clastics	684	38034	9933	14	40	340	79685	995	214	19	21	0	938	38393	89638	1009	1934	1966	228	25867	113	30	1977	228	8027	35	11	1995	228	4140	18	9	56	13	1943	1962	13	410	32	26	1977	14	77161	5511	54	1992	13	2115	163	106	1992	51
10150102	Lower Volga	81	2874	5245	23	44	78	5466	51	25	5	31	0	150	2957	10742	74	1945	1963	27	1830	68	14	1983	27	488	18	14	1995	27	557	21	10	35	11	1941	1959	15	3015	201	74	1971	15	1426	95	54	1987	14	1025	73	42	124	57
10150103	Sub-Domanik Devonian Clastics	121	27019	7930	16	4	0	4889	382	32	2	0	0	157	27021	12819	398	1913	1963	40	25328	633	28	1975	41	743	18	9	1992	40	948	24	6	223	9	1991	1991	2	4810	2405	2405	1991	2	79	39	39	NA	NA	NA	NA	NA	1222	51
10150201	Permian Reefs/Thrust Folds	4	49	42	0	5	18	2919	5	30	2	8	0	39	69	2969	5	1958	1963	2	41	21	21	1976	2	8	4	4	NA	NA	NA	NA	NA	12	6	1958	1962	3	785	262	283	1967	2	2133	1067	1067	NA	NA	NA	NA	NA	584	398
10160102	North and West Margins Subsalt Barrier Reefs	7	256	457	0	10	0	1255	0	3	0	0	0	20	256	1712	0	1973	1988	4	83	21	17	1990	3	173	58	30	NA	NA	NA	NA	NA	37	30	1958	1976	5	485	97	93	1984	5	770	154	101	NA	NA	NA	NA	NA	126	97
10160103	East and Southeast Margins Subsalt	11	1817	5450	318	3	17	2434	65	1	NA	NA	NA	15	1833	7884	383	1976	1986	6	1599	266	44	1990	5	218	44	40	NA	NA	NA	NA	NA	165	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10160106	Suprasalt	76	2082	1201	13	13	7	793	5	15	1	12	0	104	2089	2006	18	1908	1959	25	828	33	11	1978	26	812	31	14	1992	25	443	18	14	27	14	1964	1978	7	296	42	34	1988	6	497	83	68	NA	NA	NA	NA	NA	61	36
