Assessment Unit Code	Assessment Unit Name	Number of Oil Fields	Oil Volume in Oil Fields (MMBO)	Gas Volume in Oil Fields (BCFG)	NGL Volume in Oil Fields (MMBO)	Number of Gas Fields	Oil Volume in Gas Fields (MMBO)	Gas Volume in Gas Fields (BCFG)	NGL Volume in Gas Fields (MMBO)	Number of N Fields	Oil Volume in N Fields (MMBO)	Gas Volume in N Fields (BCFG)	NGL Volume in N Fields (MMBO)	Total Number of Fields	Total Oil Volume (MMBO)	Total Gas Volume (BCFG)	Total NGL Volume (MMBO)	"First Third or Half, Oil Fields, Year Start"	"First Third or Half, Oil Fields, Year End"	"First Third or Half, Number of Oil Fields"	"First Third or Half, Oil Volume in Oil Fields (MMBO)"	"First Third or Half, Mean Oil-Field Size (MMBO)"	"First Third or Half, Median Oil-Field Size (MMBO)"	"Second Third or Half, Oil Fields, Year End"	"Second Third or Half, Number of Oil Fields"	"Second Third or Half, Oil Volume in Oil Fields (MMBO)"	"Second Third or Half, Mean Oil-Field Size (MMBO)"	"Second Third or Half, Median Oil-Field Size (MMBO)"	"Third Third, Oil Fields, Year End"	"Third Third, Number of Oil Fields"	"Third Third, Oil Volume in Oil Fields (MMBO)"	"Third Third, Mean Oil-Field Size (MMBO)"	"Third Third, Median Oil-Field Size (MMBO)"	"Overall, Mean Oil-Field Size (MMBO)"	"Overall, Median Oil-Field Size (MMBO)"	"First Third or Half, Gas Fields, Year Start"	"First Third or Half, Gas Fields, Year End"	"First Third or Half, Number of Gas Fields"	"First Third or Half, Gas Volume in Gas Fields (BCFG)"	"First Third or Half, Mean Gas-Field Size (BCFG)"	"First Third or Half, Median Gas-Field Size (BCFG)"	"Second Third or Half, Gas Fields, Year End"	"Second Third or Half, Number of Gas Fields"	"Second Third or Half, Gas Volume in Gas Fields (BCFG)"	"Second Third or Half, Mean Gas-Field Size (BCFG)"	"Second Third or Half, Median Gas-Field Size (BCFG)"	"Third Third, Gas Fields, Year End"	"Third Third, Number of Gas Fields"	"Third Third, Gas Volume in Gas Fields (BCFG)"	"Third Third, Mean Gas-Field Size (BCFG)"	"Third Third, Median Gas-Field Size (BCFG)"	"Overall, Mean Gas-Field Size (BCFG)"	"Overall, Median Gas-Field Size (BCFG)"
10080102	Main Basin Platform	172	12836	2105	15	26	139	18398	183	23	1	12	0	221	12977	20515	199	1930	1981	57	8912	156	32	1988	58	2805	48	15	1995	57	1119	20	12	75	15	1935	1960	9	666	74	20	1974	9	12279	1364	200	1986	8	5454	682	175	708	80
10080103	Foredeep Basins	3	77	150	0	15	7	15961	517	2	0	6	0	20	84	16117	517	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1959	1970	5	15274	3055	200	1980	5	387	77	24	1990	5	300	60	30	1064	50
10090101	Carboniferous-Lower Permian Clastics	24	1552	2535	0	70	57	56161	200	102	1	13	0	196	1610	58709	200	1950	1976	8	1473	184	108	1982	8	51	6	2	1992	8	28	4	2	65	3	1950	1966	23	31053	1350	340	1978	24	22893	954	90	1991	23	2215	96	45	802	100
10150101	Supra-Domanik Carbonates/Clastics	663	34450	8691	8	39	286	68260	849	236	25	26	0	938	34761	76976	857	1934	1966	221	25090	114	30	1977	221	6798	31	10	1995	221	2563	12	5	52	10	1943	1962	13	397	31	25	1976	13	66501	5115	50	1992	13	1362	105	86	1750	36
10150102	Lower Volga	80	2446	4923	20	44	69	4978	43	26	5	27	0	150	2520	9928	64	1945	1963	27	1812	67	13	1983	27	391	14	10	1995	26	242	9	5	31	8	1941	1959	15	2973	198	71	1971	15	1263	84	52	1987	14	742	53	31	113	51
10150103	Sub-Domanik Devonian Clastics	121	26430	7320	8	3	0	2043	160	33	2	3	0	157	26432	9366	168	1913	1963	40	25149	629	28	1975	41	653	16	8	1992	40	628	16	4	218	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10150201	Permian Reefs/Thrust Folds	4	46	40	0	5	17	2590	5	30	2	8	0	39	65	2638	5	1958	1963	2	40	20	20	1976	2	6	3	3	NA	NA	NA	NA	NA	11	5	1958	1962	3	750	250	270	1967	2	1840	920	920	NA	NA	NA	NA	NA	518	380
10160102	North and West Margins Subsalt Barrier Reefs	7	134	331	0	9	0	934	0	4	0	5	0	20	134	1270	0	1973	1988	4	56	14	15	1990	3	78	26	14	NA	NA	NA	NA	NA	19	14	1958	1976	5	403	81	70	1980	4	531	133	75	NA	NA	NA	NA	NA	104	70
10160103	East and Southeast Margins Subsalt	11	1206	3762	220	3	11	1602	45	1	NA	NA	NA	15	1217	5364	265	1976	1986	6	1101	184	25	1990	5	105	21	20	NA	NA	NA	NA	NA	110	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10160106	Suprasalt	76	1826	1082	12	12	4	531	3	16	0	14	0	104	1830	1628	15	1908	1959	25	817	33	11	1978	26	747	29	12	1992	25	262	10	10	24	10	1964	1969	6	226	38	27	1987	6	305	51	40	NA	NA	NA	NA	NA	44	30
10500102	South Barents and Ludlov Saddle	0	0	0	0	4	0	78140	100	0	0	0	0	4	0	78140	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1984	1988	2	62020	31010	31010	1991	2	16120	8060	8060	NA	NA	NA	NA	NA	19535	8060
11080101	Tertiary Foredeep	21	1294	3475	2	13	1	467	0	51	1	2	0	85	1297	3944	2	1886	1948	7	301	43	12	1952	7	176	25	5	1994	7	818	117	3	62	5	1949	1970	7	218	31	27	1992	6	249	42	23	NA	NA	NA	NA	NA	36	27
11080102	Foreland Slope	2	20	20	0	28	0	14563	49	42	0	11	0	72	20	14595	49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1952	1957	9	7692	855	850	1961	10	5435	544	440	1988	9	1436	160	70	520	152
11090101	Foldbelt-Foothills	28	3468	4258	7	8	21	3580	22	11	1	2	0	47	3490	7840	29	1893	1941	9	2513	279	135	1959	10	831	83	52	1981	9	124	14	9	124	30	1928	1941	4	237	59	32	1983	4	3343	836	664	NA	NA	NA	NA	NA	448	136
11090201	South Mangyshlak (Entire)	26	5220	4145	18	12	20	1554	28	4	1	8	0	42	5241	5707	46	1961	1973	9	5050	561	79	1985	9	91	10	8	1993	8	79	10	5	201	11	1968	1975	6	1430	238	141	1988	6	124	21	17	NA	NA	NA	NA	NA	129	36
11090302	Onshore Stavropol-Prikumsk	34	812	257	3	20	0	13235	0	81	5	8	0	135	817	13499	3	1953	1967	11	632	57	6	1983	12	101	8	4	1993	11	79	7	2	24	3	1946	1958	7	9524	1361	180	1960	7	3149	450	29	1994	6	562	94	70	662	95
11120101	Apsheron-Pribalkhan Zone	45	14902	12033	115	9	134	6438	115	3	1	1	0	57	15037	18472	230	1871	1937	15	6779	452	216	1956	15	4567	304	140	1990	15	3557	237	60	331	130	1952	1973	5	5854	1171	681	1993	4	584	146	40	NA	NA	NA	NA	NA	715	490
11120102	Lower Kura Depression and Adjacent Shelf	17	2005	4205	61	6	35	4010	121	1	NA	NA	NA	24	2040	8215	182	1926	1954	6	176	29	11	1963	6	1044	174	149	1983	5	785	157	35	118	35	1939	1952	3	988	329	30	1978	3	3022	1007	217	NA	NA	NA	NA	NA	668	124
11120103	Gograndag-Okarem Zone and Adjacent Shelf	5	179	868	20	16	127	8174	67	0	0	0	0	21	306	9042	87	1958	1972	3	72	24	23	1983	2	107	53	53	NA	NA	NA	NA	NA	36	37	1962	1977	5	1626	325	295	1988	6	6100	1017	102	1992	5	447	89	30	511	103
11500101	Mesozoic Sandstone Reservoirs	8	2286	855	0	1	NA	NA	NA	0	0	0	0	9	2286	943	0	1974	1976	4	2206	551	508	1984	4	80	20	13	NA	NA	NA	NA	NA	286	35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11500201	Jurassic-Tertiary Reservoirs	3	80	45	0	8	0	1405	8	1	NA	NA	NA	12	80	1450	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1964	1967	4	1064	266	157	1990	4	341	85	43	NA	NA	NA	NA	NA	176	93
