Sort Order	Code	Name	Contact					
1	1	Former Soviet Union						
2	1008	Timan-Pechora Basin						
3	100801	Domanik-Paleozoic						
4	10080101	Northwest Izhma-Pechora Depression	G. F. Ulmishek					
5	10080102	Main Basin Platform	G. F. Ulmishek					
6	10080103	Foredeep Basins	G. F. Ulmishek					
7	1009	Dnieper-Donets Basin						
8	100901	Dnieper-Donets Paleozoic						
9	10090101	Carboniferous-Lower Permian Clastics	G. F. Ulmishek					
10	10090102	Devonian Synrift	G. F. Ulmishek					
11	10090103	Continuous Basin-Centered Gas Accumulation	G. F. Ulmishek					
12	1015	Volga-Ural Region						
13	101501	Volga-Ural Domanik-Paleozoic						
14	10150101	Supra-Domanik Carbonates/Clastics	G. F. Ulmishek					
15	10150102	Lower Volga	G. F. Ulmishek					
16	10150103	Sub-Domanik Devonian Clastics	G. F. Ulmishek			
17	10150104	Self-Sourced Domanik	G. F. Ulmishek			
18	101502	Belsk Basin				
19	10150201	Permian Reefs/Thrust Folds	G. F. Ulmishek			
20	1016	North Caspian Basin				
21	101601	Paleozoic North Caspian				
22	10160101	North and West Margins Subsalt Pinnacle Reefs	G. F. Ulmishek			
23	10160102	North and West Margins Subsalt Barrier Reefs	G. F. Ulmishek			
24	10160103	East and Southeast Margins Subsalt	G. F. Ulmishek			
25	10160104	South Margin Subsalt	G. F. Ulmishek			
26	10160105	Basin Center Subsalt	G. F. Ulmishek			
27	10160106	Suprasalt	G. F. Ulmishek			
28	1050	South Barents Basin				
29	105001	South and North Barents Triassic-Jurassic				
30	10500101	Kolguyev Terrace	G. F. Ulmishek			
31	10500102	South Barents and Ludlov Saddle	G. F. Ulmishek			
32	10500103	North Barents	G. F. Ulmishek			
33	1060	North Barents Basin				
34	1108	Azov-Kuban Basin				
35	110801	Azov-Kuban Mesozoic-Cenozoic				
36	11080101	Tertiary Foredeep	G. F. Ulmishek			
37	11080102	Foreland Slope	G. F. Ulmishek			
38	11080103	Subsalt Jurassic	G. F. Ulmishek			
39	1109	Middle Caspian Basin				
40	110901	Terek-Caspian				
41	11090101	Foldbelt-Foothills	G. F. Ulmishek			
42	11090102	Terek-Sunzha Subsalt Jurassic	G. F. Ulmishek			
43	11090103	Foreland Slope and Foredeep	G. F. Ulmishek			
44	110902	South Mangyshlak				
45	11090201	South Mangyshlak (Entire)	G. F. Ulmishek			
46	110903	Stavropol-Prikumsk				
47	11090301	Offshore Prikumsk Zone	G. F. Ulmishek			
48	11090302	Onshore Stavropol-Prikumsk	G. F. Ulmishek			
49	11090303	Central Caspian Offshore	G. F. Ulmishek			
50	1112	South Caspian Basin				
51	111201	Oligocene-Miocene Maykop/Diatom				
52	11120101	Apsheron-Pribalkhan Zone	G. F. Ulmishek			
53	11120102	Lower Kura Depression and Adjacent Shelf	G. F. Ulmishek			
54	11120103	Gograndag-Okarem Zone and Adjacent Shelf	G. F. Ulmishek			
55	11120104	Central Offshore	G. F. Ulmishek			
56	11120105	Iran Onshore/Nearshore	G. F. Ulmishek			
57	1150	North Ustyurt Basin				
58	115001	Buzachi Arch and Surrounding Areas Composite				
59	11500101	Mesozoic Sandstone Reservoirs	G. F. Ulmishek			
60	115002	North Ustyurt Jurassic				
61	11500201	Jurassic-Tertiary Reservoirs	G. F. Ulmishek			
62	115003	North Ustyurt Paleozoic				
63	11500301	Upper Paleozoic Carbonates	G. F. Ulmishek			
64	1154	Amu-Darya Basin	
65	115401	Amu-Darya Jurassic-Cretaceous	
66	11540101	Northern and Western Areas	G. F. Ulmishek
67	11540102	Karabil-Badkhyz (Southern Area)	G. F. Ulmishek
68	11540103	Murgab Depression Suprasalt	G. F. Ulmishek
69	11540104	Murgab Depression Subsalt	G. F. Ulmishek
70	1174	West Siberian Basin	
71	117401	Bazhenov-Neocomian	
72	11740101	Upper Jurassic-Cretaceous Sandstones	G. F. Ulmishek
73	11740102	Self-Sourced Bazhenov Fractured Reservoirs	G. F. Ulmishek
74	117402	Togur-Tyumen	
75	11740201	Pre-Upper Jurassic	G. F. Ulmishek
76	117403	Northern West Siberian Mesozoic Composite 	
77	11740301	Northern West Siberian Onshore Gas	G. F. Ulmishek
78	11740302	South Kara Sea Offshore	G. F. Ulmishek
79	1207	Baykit Arch	
80	120701	Yenisey Foldbelt Riphean-Craton Margin Riphean	
81	12070101	Yenisey Foldbelt Riphean-Craton Margin Riphean	G. F. Ulmishek
82	1209	Angara-Lena Terrace	
83	1210	Nepa-Botuoba Arch	
84	121001	Baikal-Patom Foldbelt Riphean-Craton Margin Vendian	
85	12100101	Baikal-Patom Foldbelt Riphean-Craton Margin Vendian	G. F. Ulmishek
86	1211	Cis-Patom Foredeep	
87	1322	North Sakhalin Basin	
88	132201	North Sakhalin Neogene	
89	13220101	Onshore and Offshore Northeastern Shelf	G. F. Ulmishek
90	2	Middle East and North Africa	
91	2004	Ma'Rib-Al Jawf/Masila Basin	
92	200401	Madbi Amran/Qishn	
93	20040101	Ma'Rib-Al Jawf/Shabwah/Masila	T. S. Ahlbrandt
94	2014	Ghaba Salt Basin	
95	201401	North Oman Huqf/'Q'-Haushi	
96	20140101	Ghaba-Makarem Combined Structural	R. M. Pollastro
97	2016	Fahud Salt Basin	
98	201601	North Oman Huqf-Shu'aiba	
99	20160101	Fahud-Huqf Combined Structural	R. M. Pollastro
100	201602	Middle Cretaceous Natih	
101	20160201	Natih-Fiqa Structural/Stratigraphic	R. M. Pollastro
102	2019	Rub Al Khali Basin	
103	201901	Cretaceous Thamama/Wasia	
104	20190101	Cretaceous Reservoirs in Northwest Desert Anticlines	R. M. Pollastro
105	20190102	Cretaceous Reservoirs in South Gulf Suprasalt Structural	R. M. Pollastro
106	20190103	Mesozoic/Tertiary Foredeep Fold and Thrust	R. M. Pollastro
107	201902	Jurassic Hanifa/Diyab-Arab	
108	20190201	Jurassic Reservoirs in Northwest Desert Anticlines	R. M. Pollastro
109	20190202	Jurassic Reservoirs in South Gulf Suprasalt/Qatar Arch Structural	R. M. Pollastro
110	201903	Silurian Qusaiba	
111	20190301	Khuff Carbonates in Salt Structures	C. J. Schenk
112	20190302	Paleozoic Reservoirs	C. J. Schenk
113	2020	Interior Homocline-Central Arch	
114	2021	Greater Ghawar Uplift	
115	202101	Central Arabia Qusaiba Paleozoic	
116	20210101	Central Arch Horst-Block Anticlinal Oil and Gas	R. M. Pollastro
117	20210102	North Gulf Salt Basin Structural Gas	R. M. Pollastro
118	202102	Arabian Sub-Basin Tuwaiq/Hanifa-Arab	
119	20210201	Horst-Block Anticlinal Oil	R. M. Pollastro
120	20210202	Salt-Involved Structural Oil	R. M. Pollastro
121	2022	Qatar Arch	
122	2023	Widyan Basin-Interior Platform	
123	202301	Paleozoic Qusaiba/Akkas/Abba/Mudawwara	
124	20230101	Horst/Graben-Related Oil and Gas	T. S. Ahlbrandt
125	202302	Jurassic Gotnia/Barsarin/Sargelu/Najmah	
126	20230201	Platform Horst/Graben-Related Oil	T. S. Ahlbrandt
127	20230202	Basinal Oil and Gas	T. S. Ahlbrandt
128	2024	Mesopotamian Foredeep Basin	
129	2029	Wadi-Surhan Basin	
130	2030	Zagros Fold Belt	
131	203001	Zagros-Mesopotamian Cretaceous-Tertiary	
132	20300101	Cretaceous Reservoirs	T. S. Ahlbrandt
133	20300102	Tertiary Reservoirs	T. S. Ahlbrandt
134	203002	Paleozoic-Permian/Triassic	
135	20300201	Northern Qatar Arch Extension	T. S. Ahlbrandt
136	2043	Sirte Basin	
137	204301	Sirte-Zelten	
138	20430101	Southeast Sirte Clastics	T. S. Ahlbrandt
139	20430102	Central Sirte Carbonates	T. S. Ahlbrandt
140	20430103	Offshore Sirte Hypothetical	T. S. Ahlbrandt
141	20430104	Southeast Sirte Hypothetical	T. S. Ahlbrandt
142	2048	Pelagian Basin	
143	204801	Bou Dabbous-Tertiary	
144	20480101	Bou Dabbous-Tertiary Structural/Stratigraphic	T. R. Klett
145	204802	Jurassic-Cretaceous Composite	
146	20480201	Jurassic-Cretaceous Structural/Stratigraphic	T. R. Klett
147	2054	Trias/Ghadames Basin	
148	205401	Tanezzuft-Oued Mya	
149	20540101	Tanezzuft-Oued Mya Structural/Stratigraphic	T. R. Klett
150	205402	Tanezzuft-Melrhir	
151	20540201	Tanezzuft-Melrhir Structural/Stratigraphic	T. R. Klett
152	205403	Tanezzuft-Ghadames	
153	20540301	Tanezzuft-Ghadames Structural/Stratigraphic	T. R. Klett
154	2056	Illizi Basin	
155	205601	Tanezzuft-Illizi	
156	20560101	Tanezzuft-Illizi Structural/Stratigraphic	T. R. Klett
157	2058	Grand Erg/Ahnet Basin	
158	205801	Tanezzuft-Timimoun	
159	20580101	Tanezzuft-Timimoun Structural/Stratigraphic	T. R. Klett
160	205802	Tanezzuft-Ahnet	
161	20580201	Tanezzuft-Ahnet Structural/Stratigraphic	T. R. Klett
162	205803	Tanezzuft-Sbaa	
163	20580301	Tanezzuft-Sbaa Structural/Stratigraphic	T. R. Klett
164	205804	Tanezzuft-Mouydir	
165	20580401	Tanezzuft-Mouydir Structural/Stratigraphic	T. R. Klett
166	205805	Tanezzuft-Benoud	
167	20580501	Tanezzuft-Benoud Structural/Stratigraphic	T. R. Klett
168	205806	Tanezzuft-Bechar/Abadla	
169	20580601	Tanezzuft-Bechar/Abadla Structural/Stratigraphic	T. R. Klett
170	2071	Red Sea Basin	
171	207101	Sudr-Nubia	
172	20710101	Gulf of Suez Block-Fault Fairway	T. S. Ahlbrandt
173	20710102	Gulf of Suez Qaa Plain	T. S. Ahlbrandt
174	20710103	Southern Gulf of Suez	T. S. Ahlbrandt
175	207102	Maqna	
176	20710201	Red Sea Coastal Block Faults	T. S. Ahlbrandt
177	20710202	Red Sea Salt Basin	T. S. Ahlbrandt
178	3	Asia Pacific	
179	3115	Junggar Basin	
180	311501	Lucaogou-Karamay/Ulho/Pindequan	
181	31150101	Upper Paleozoic/Lower Mesozoic Nonmarine Coarse Clastics	R. T. Ryder
182	311502	Jurassic Coal-Jurassic/Tertiary	
183	31150201	Jurassic/Tertiary Fluvial and Lacustrine Sandstone	R. T. Ryder
184	311503	Lucaogou/Jurassic Coal-Paleozoic/Mesozoic	
185	31150301	Continuous-Type (Basin-Centered) Gas	R. T. Ryder
186	3127	Bohaiwan Basin	
187	312701	Shahejie-Shahejie/Guantao/Wumishan	
188	31270101	Tertiary Lacustrine	R. T. Ryder
189	31270102	Pre-Tertiary Buried Hills	R. T. Ryder
190	312702	Carboniferous/Permian Coal-Paleozoic	
191	31270201	Coal-Sourced Gas	R. T. Ryder
192	3128	Ordos Basin	
193	312801	Yanchang-Yanan	
194	31280101	Jurassic/Triassic Fluvial and Lacustrine Sandstone	R. T. Ryder
195	312802	Taiyuan/Shanxi-Majiagou/Shihezi	
196	31280201	Basin Centered Gas (Continuous) in Ordovician Carbonate and Permian Sandstone	R. T. Ryder
197	31280202	Carboniferous and Permian Coalbed Methane (Continuous)	R. T. Ryder
198	3142	Sichuan Basin	
199	314201	Maokou/Longtang-Jialingjiang/Maokou/Huanglong	
200	31420101	Southeastern Fold Belt	R. T. Ryder
201	31420102	Northwestern Depression/Foldbelt	R. T. Ryder
202	31420103	Continuous Gas in Central Uplift/Northwestern Depression	R. T. Ryder
203	314202	Daanzhai-Daanzhai/Lianggaoshan	
204	31420201	Jurassic Lacustrine	R. T. Ryder
205	314203	Xujiahe-Xujiahe/Shaximiao	
206	31420301	Continuous Gas in Northwestern Depression/Central Uplift	R. T. Ryder
207	314204	Cambrian/Silurian Marine Shale-Dengying/Lower Paleozoic	
208	31420401	Leshan-Longnusi Paleohigh	R. T. Ryder
209	31420402	Lower Paleozoic of Southeastern Fold Belt	R. T. Ryder
210	3144	Songliao Basin	
211	314401	Qingshankou-Putaohua/Shaertu	
212	31440101	Subtle Traps	R. T. Ryder
213	31440102	Anticlinal	R. T. Ryder
214	314402	Jurassic Coal-Denglouku/Nongan	
215	31440201	Structural Traps	R. T. Ryder
216	3154	Tarim Basin	
217	315401	Ordovician/Jurassic-Phanerozoic	
218	31540101	Tarim Basin Excluding Marginal Foldbelts	R. T. Ryder
219	31540102	Kuche (Northern) Foldbelt	R. T. Ryder
220	31540103	Southwest Foldbelt	R. T. Ryder
221	3701	Baram Delta/Brunei-Sabah Basin	
222	370101	Brunei-Sabah	
223	37010101	Brunei-Sabah Deltaics	P. J. McCabe
224	37010102	Brunei-Sabah Turbidites	P. J. McCabe
225	3702	Greater Sarawak Basin	
226	370201	Sarawak Basin	
227	37020101	Central Luconia	P. J. McCabe
228	37020102	Balingian	P. J. McCabe
229	370202	East Natuna	
230	37020201	East Natuna	P. J. McCabe
231	3703	Malay Basin	
232	370301	Oligocene-Miocene Lacustrine	
233	37030101	South Malay Lacustrine	P. J. McCabe
234	37030102	North Malay Lacustrine	P. J. McCabe
235	370302	Miocene Coaly Strata	
236	37030201	South Malay Coaly	P. J. McCabe
237	3808	Central Sumatra Basin	
238	380801	Brown Shale-Sihapas	
239	38080101	Pematang/Sihapas Siliciclastics	R. T. Ryder
240	3817	Kutei Basin	
241	381701	Kutei Basin	
242	38170101	Kutei Basin Deltaics	P. J. McCabe
243	38170102	Kutei Basin Turbidites	P. J. McCabe
244	38170103	Kutei Basin Fold and Thrust Belt	P. J. McCabe
245	3822	North Sumatra Basin	
246	382201	Bampo-Cenozoic	
247	38220101	North Sumatra	R. T. Ryder
248	38220102	Mergui	R. T. Ryder
249	3824	Northwest Java Basin	
250	382401	Banuwati-Oligocene/Miocene	
251	38240101	Sunda/Asri	R. T. Ryder
252	382402	Jatibarang/Talang Akar-Oligocene/Miocene	
253	38240201	Ardjuna	R. T. Ryder
254	382403	Tertiary-Parigi	
255	38240301	Biogenic Gas	R. T. Ryder
256	382404	Tertiary-Cenozoic	
257	38240401	Billiton Basin Hypothetical	R. T. Ryder
258	3828	South Sumatra Basin	
259	382801	Lahat/Talang Akar-Cenozoic	
260	38280101	South Sumatra	R. T. Ryder
261	3910	Bonaparte Gulf Basin	
262	391001	Milligans-Carboniferous/Permian	
263	39100101	Barnett	T. S. Ahlbrandt
264	391002	Keyling/Hyland Bay-Permian	
265	39100201	Petrel	T. S. Ahlbrandt
266	39100202	Vulcan Graben	T. S. Ahlbrandt
267	391003	Jurassic/Early Cretaceous-Mesozoic	
268	39100301	Malita	T. S. Ahlbrandt
269	3913	Browse Basin	
270	391301	Late Jurassic/Early Cretaceous-Mesozoic	
271	39130101	Late Jurassic/Early Cretaceous-Mesozoic	R. T. Ryder
272	3930	Gippsland Basin	
273	393001	Latrobe	
274	39300101	Gippsland	P. J. McCabe
275	3948	Northwest Shelf	
276	394801	Dingo-Mungaroo/Barrow	
277	39480101	Dingo-Mungaroo/Barrow	T. S. Ahlbrandt
278	394802	Locker-Mungaroo/Barrow	
279	39480201	Locker-Mungaroo/Barrow	T. S. Ahlbrandt
280	4	Europe  	
281	4017	Vestford-Helgeland	
282	401701	Upper Jurassic Spekk	
283	40170101	Halten Terrace-Trondelag Platform	D. L. Gautier
284	40170102	Mid-Norway Continental Margin	D. L. Gautier
285	4025	North Sea Graben	
286	402501	Kimmeridgian Shales	
287	40250101	Viking Graben	D. L. Gautier
288	40250102	Moray Firth	D. L. Gautier
289	40250103	Central Graben	D. L. Gautier
