Province Code	Province Name	Major Commodity	Cumulative Oil (MMBO)	Remaining Oil (MMBO)	Known Oil (MMBO)	Cumulative Gas (BCFG)	Remaining Gas (BCFG)	Known Gas (BCFG)	Cumulative NGL (MMBNGL)	Remaining NGL (MMBNGL)	Known NGL (MMBNGL)	Total Cumulative Petroleum (MMBOE)	Total Remaining Petroleum (MMBOE)	Total Known Petroleum (MMBOE)	Mean Undiscovered Oil (MMBO)	Mean Undiscovered Gas (BCFG)	Mean Undiscovered NGL (MMBNGL)	Total Mean Undiscovered Petroleum (MMBOE)	Oil Endowment (MMBO)	Gas Endowment (BCFG)	NGL Endowment (MMBNGL)	Total Petroleum Endowment (MMBOE)	"Discovery Maturity, Oil (%)"	"Discovery Maturity, Gas (%)"	"Discovery Maturity, NGL (%)"	"Discovery Maturity, Total Petroleum (%)"	Future Oil (MMBO)	Future Gas (BCFG)	Future NGL (MMBNGL)	Total Future Petroleum (MMBOE)
1008	Timan-Pechora Basin	Oil	3346	9774	13120	12374	24261	36635	362	353	716	5771	14171	19942	5732	52079	2186	16598	18852	88714	2901	36539	70	41	25	55	15506	76340	2539	30769
1009	Dnieper-Donets Basin	Gas	110	1501	1611	35453	23645	59098	119	81	200	6137	5523	11660	1098	24051	862	5969	2709	83149	1062	17629	59	71	19	66	2599	47697	943	11492
1015	Volga-Ural Region	Oil	42690	21247	63937	16417	82750	99166	307	793	1100	45732	35832	81564	2549	3941	198	3403	66485	103108	1298	84968	96	96	85	96	23796	86691	991	39235
1016	North Caspian Basin	Oil	822	9987	10808	1745	155161	156906	209	8681	8890	1322	44528	45850	23320	119051	5412	48573	34128	275957	14302	94423	32	57	62	49	33307	274212	14093	93101
1050	South Barents Basin	Gas	0	0	0	0	70020	70020	0	100	100	0	11770	11770	219	160857	3349	30377	219	230877	3449	42147	0	30	3	28	219	230877	3449	42147
1059	Ludlov Saddle	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	39	28387	591	5361	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1060	North Barents Basin	Gas	0	0	0	0	0	0	0	0	0	0	0	0	135	59820	1250	11355	135	59820	1250	11355	0	0	0	0	135	59820	1250	11355
1108	Azov-Kuban Basin	Gas	1273	-750	524	7492	11118	18610	67	-12	56	2589	1091	3681	417	12252	215	2675	941	30861	271	6355	56	60	21	58	-332	23369	203	3766
1109	Middle Caspian Basin	Oil	4359	5193	9551	9984	17156	27140	48	31	79	6071	8083	14153	4887	39685	1670	13171	14439	66825	1748	27324	66	41	4	52	10080	56841	1700	21254
1112	South Caspian Basin	Oil	11681	5758	17438	8591	27403	35994	221	282	503	13334	10607	23941	15725	173310	8115	52725	33163	209304	8618	76665	53	17	6	31	21483	200713	8397	63332
1150	North Ustyurt Basin	Oil	459	1907	2366	0	2413	2413	0	8	8	459	2318	2777	954	10770	444	3193	3320	13183	453	5970	71	18	2	47	2861	13183	453	5511
1154	Amu-Darya Basin	Gas	80	686	766	78513	151830	230343	191	984	1175	13357	26975	40332	270	163650	3995	31541	1037	393993	5171	71873	74	58	23	56	957	315480	4979	58516
1158	Tian Shan Foldbelt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1174	West Siberian Basin	Oil	46530	93383	139913	218465	1051584	1270049	272	2870	3142	83213	271517	354730	55235	642934	20473	182864	195148	1912983	23615	537593	72	66	13	66	148618	1694518	23343	454380
1207	Baykit Arch	Oil	0	34	34	0	5052	5052	0	60	60	0	936	936	1213	16983	854	4897	1246	22035	914	5833	3	23	7	16	1246	22035	914	5833
1209	Angara-Lena Terrace	Gas	0	0	0	0	8075	8075	0	63	63	0	1409	1409	242	10705	500	2526	242	18780	563	3935	0	43	11	36	242	18780	563	3935
1210	Nepa-Botuoba Arch	Oil	1	2005	2006	0	22035	22035	0	297	297	1	5974	5976	1208	29971	1440	7643	3214	52006	1737	13619	62	42	17	44	3213	52006	1737	13618
1211	Cis-Patom Foredeep	Gas	0	0	0	0	100	100	0	0	0	0	17	17	161	5364	254	1309	161	5464	254	1325	0	2	0	1	161	5464	254	1325
1322	North Sakhalin Basin	Oil	754	1428	2182	162	22221	22383	4	161	165	785	5292	6077	2582	57451	2999	15156	4764	79835	3164	21234	46	28	5	29	4010	79673	3160	20449
2004	Ma'Rib-Al Jawf/Masila Basin	Oil	504	683	1188	0	16507	16507	31	277	309	536	3712	4248	959	5944	323	2273	2147	22451	632	6521	55	74	49	65	1643	22451	601	5985
2006	Shabwah Basin	Oil	0	113	113	0	573	573	0	1	1	0	210	210	685	4246	231	1624	798	4819	232	1833	14	12	1	11	798	4819	232	1833
2009	Masila-Jeza Basin	Oil	144	488	632	0	40	40	0	2	2	144	496	641	1096	6793	369	2598	1728	6833	371	3238	37	1	1	20	1584	6833	371	3094
2010	Ghudun-Khasfeh Flank Province	Oil	0	0	0	0	0	0	0	0	0	0	0	0	926	5623	394	2258	926	5623	394	2258	0	0	0	0	926	5623	394	2258
2011	South Oman Salt Basin	Oil	203	297	500	0	188	188	0	15	15	203	343	546	97	1236	55	357	596	1424	70	903	84	13	21	60	394	1424	70	701
2013	Huqf-Haushi Uplift	Oil	0	0	0	0	0	0	0	0	0	0	0	0	30	404	18	115	30	404	18	115	0	0	0	0	30	404	18	115
2014	Ghaba Salt Basin	Oil	466	878	1344	138	18825	18964	0	476	476	489	4492	4981	371	5056	221	1436	1715	24019	697	6416	78	79	68	78	1250	23881	697	5928
2015	Central Oman Platform	Oil	3	68	71	0	742	742	0	6	6	3	198	200	424	3239	125	1090	495	3981	131	1290	14	19	4	16	493	3980	131	1287
