Region Code	Region Name	Major Commodity	Cumulative Oil (MMBO)	Remaining Oil (MMBO)	Known Oil (MMBO)	Cumulative Gas (BCFG)	Remaining Gas (BCFG)	Known Gas (BCFG)	Cumulative NGL (MMBNGL)	Remaining NGL (MMBNGL)	Known NGL (MMBNGL)	Total Cumulative Petroleum (MMBOE)	Total Remaining Petroleum (MMBOE)	Total Known Petroleum (MMBOE)	Mean Undiscovered Oil (MMBO)	Mean Undiscovered Gas (BCFG)	Mean Undiscovered NGL (MMBNGL)	Total Mean Undiscovered Petroleum (MMBOE)	Oil Endowment (MMBO)	Gas Endowment (BCFG)	NGL Endowment (MMBNGL)	Total Petroleum Endowment (MMBOE)	"Discovery Maturity, Oil (%)"	"Discovery Maturity, Gas (%)"	"Discovery Maturity, NGL (%)"	"Discovery Maturity, Total Petroleum (%)"	Future Oil (MMBO)	Future Gas (BCFG)	Future NGL (MMBNGL)	Total Future Petroleum (MMBOE)
1	Former Soviet Union	Oil	112106	152173	264280	389196	1682950	2072146	1801	14753	16554	178773	447418	626191	115985	1611262	54806	439335	380265	3683408	71360	1065526	69	56	23		268159	3294212	69559	886753
2	Middle East and North Africa	Oil	218644	528620	747265	73488	1835573	1909061	1413	35376	36789	232306	869925	1102230	229882	1369933	81747	539951	977146	3278994	118536	1642181	76	58	31		758502	3205506	117122	1409875
3	Asia Pacific	Oil	47722	39980	87702	56499	344518	401017	1022	4906	5927	58160	102305	160465	29780	379339	15379	108382	117482	780357	21306	268847	75	51	28		69760	723857	20284	210687
4	Europe	Oil	31235	27572	58807	204302	279713	484015	649	6400	7049	65935	80590	146525	22292	312365	13667	88020	81099	796379	20716	234545	73	61	34		49864	592077	20067	168610
5	North America (excl. U.S.)	Oil	37832	27143	64975	84600	84514	169114	1980	1462	3442	53913	42691	96604	70491	154499	7853	104093	135466	323614	11296	200697	48	52	30		97634	239014	9315	146785
6	Central and South America	Oil	64096	50272	114368	55264	223610	278874	486	2016	2502	73792	89556	163348	105106	487190	20196	206500	219474	760184	22697	368869	52	37	11		155378	710800	22211	296057
7	Sub-Saharan Africa and Antarctica	Oil	22437	26049	48486	7431	106572	114003	10	2932	2942	23685	46743	70428	71512	235290	10766	121493	119998	349293	13707	191921	40	33	21		97561	341862	13697	168235
8	South Asia	Oil	5131	7071	12202	27594	63067	90661	24	467	491	9754	18049	27803	3580	119610	2604	26120	15782	210271	3095	53923	77	43	16		10652	182677	3071	44169
																														
																														
																														

																														


																													
																													
