Assessment Unit Code	Assessment Unit Name	Field Type	Units for Minimum Field Size	Minimum Field Size	Assessment Unit Probability	Oil F95 (MMBO)	Oil F50 (MMBO)	Oil F5 (MMBO)	Oil Mean (MMBO)	Gas F95 (BCFG)	Gas F50 (BCFG)	Gas F5 (BCFG)	Gas Mean (BCFG)	NGL F95 (MMBNGL)	NGL F50 (MMBNGL)	NGL F5 (MMBNGL)	NGL Mean (MMBNGL)	Units for Largest	Largest F95	Largest F50	Largest F5	Largest Mean
10080101	Northwest Izhma-Pechora Depression	oil	MMBO	5	0.4	0	0	75.68917367	17.89126789	0	0	54.00540749	12.52149376	0	0	3.282720998	0.752497691	MMBO	7.735286088	17.33971056	55.2388582	22.5320659
10080101	Northwest Izhma-Pechora Depression	gas	BCFG	30	0.4	NA	NA	NA	NA	0	0	458.7088745	107.4496395	0	0	18.59251729	4.296895389	BCFG	46.12082233	103.2470076	332.8988286	134.965759
10080102	Main Basin Platform	oil	MMBO	5	1	2462.361331	4661.021294	8297.923281	4937.50164	1579.198173	3208.123358	6144.269149	3452.14382	85.3578615	188.375268	393.3760155	207.1214776	MMBO	227.5741626	526.6990828	1168.074084	588.7369666
10080102	Main Basin Platform	gas	BCFG	30	1	NA	NA	NA	NA	3871.768889	10156.89122	21221.66042	11062.38116	142.9280917	396.2511992	901.7948967	442.6415113	BCFG	692.1970618	1776.280523	4854.559352	2125.093976
10080103	Foredeep Basins	oil	MMBO	5	1	53.63263465	186.5198233	467.6779306	214.1608092	52.61635512	187.67496	492.5458547	219.3420235	2.949878106	10.97619636	30.71439889	13.14530865	MMBO	19.07557284	56.94330335	191.9462321	73.95755009
10080103	Foredeep Basins	gas	BCFG	30	1	NA	NA	NA	NA	7961.784141	18821.86018	34256.58865	19671.42502	289.7254781	729.2174421	1471.994991	786.4333453	BCFG	1108.032068	2852.839998	7571.144018	3372.953427
10090101	Carboniferous-Lower Permian Clastics	oil	MMBO	3	1	85.80847409	235.4034908	466.4133455	250.697657	158.4810639	456.8278267	996.8072152	501.665426	8.812858039	26.75570192	62.85202162	30.08716999	MMBO	20.14831653	51.40813201	147.0332558	62.55081778
10090101	Carboniferous-Lower Permian Clastics	gas	BCFG	18	1	NA	NA	NA	NA	6827.695983	13981.29898	22374.85465	14233.05161	167.7872144	401.5381596	773.0278558	426.7059571	BCFG	516.6032446	1119.415224	2191.897396	1207.020952
10090102	Devonian Synrift	oil	MMBO	7	0.9	0	783.7762598	1886.395304	847.6807014	0	1512.71233	3957.225621	1693.766989	0	87.98629521	247.7187148	101.5982794	MMBO	58.58186252	171.7839129	506.7083237	210.2206228
10090102	Devonian Synrift	gas	BCFG	42	0.9	NA	NA	NA	NA	0	7252.066243	16041.17691	7622.831484	0	279.9151714	676.7149557	303.8039164	BCFG	481.2597347	1288.608978	3463.708744	1524.730381
10150101	Supra-Domanik Carbonates/Clastics	oil	MMBO	1	1	796.2877897	1614.471366	2734.179812	1676.162178	187.713246	398.3906165	721.9403773	419.4366839	10.20476996	23.30460127	46.41740698	25.14866452	MMBO	34.54771101	63.52642142	94.81696312	64.12822404
10150101	Supra-Domanik Carbonates/Clastics	gas	BCFG	6	1	NA	NA	NA	NA	271.3049029	677.6306196	1314.683909	721.1592709	7.827382059	20.11701046	40.68021717	21.64692078	BCFG	60.82615226	143.1914107	372.4974616	168.9501034
10150102	Lower Volga	oil	MMBO	1	1	69.28653585	144.5138026	240.3529355	148.4398464	48.11792178	107.1025084	201.3419467	113.6987258	2.605579412	6.270808728	12.87010298	6.824004102	MMBO	9.683591579	21.84474455	55.89178583	25.65149001
10150102	Lower Volga	gas	BCFG	6	1	NA	NA	NA	NA	187.6385253	422.1357838	781.971519	444.4418989	5.323414616	12.67384777	26.23287222	13.81257634	BCFG	38.09633275	93.38838531	276.4269419	115.5496414
10150103	Sub-Domanik Devonian Clastics	oil	MMBO	1	1	316.7613672	664.9889812	1106.085039	682.3352756	90.8049098	196.7097261	346.0921046	204.8275039	4.971067462	11.44891801	22.41983909	12.299145	MMBO	30.97581883	73.28511045	165.8141112	82.28033039
10150103	Sub-Domanik Devonian Clastics	gas	BCFG	6	1	NA	NA	NA	NA	83.56841735	402.1743808	1208.314471	490.4150991	4.050413507	20.02287403	63.84579622	25.18762882	BCFG	40.18656718	157.2145665	626.805246	219.5642407
10150201	Permian Reefs/Thrust Folds	oil	MMBO	3	1	13.81286185	38.25067537	81.18342091	41.61726403	10.60648508	30.529036	68.82869898	33.89737473	0.595093622	1.78460225	4.320557172	2.034685901	MMBO	5.811302551	12.6405588	36.25137773	15.66816424
10150201	Permian Reefs/Thrust Folds	gas	BCFG	18	1	NA	NA	NA	NA	629.4441955	1468.277462	2543.84614	1513.470002	36.54428942	87.03976866	159.2611228	90.93031346	BCFG	112.5471919	251.820623	646.5632417	296.5777424
