Country	Onshore or Offshore	Assessment Unit Code	Assessment Unit Name	Field Type	Percent of Assessed Volume Allocated to this Area	Units for Minimum Field Size	Minimum Field Size	Probability	Oil F95 (MMBO)	Oil F50 (MMBO)	Oil F5 (MMBO)	Oil Mean (MMBO)	Gas F95 (BCFG)	Gas F50 (BCFG)	Gas F5 (BCFG)	Gas Mean (BCFG)	NGL F95 (MMBNGL)	NGL F50 (MMBNGL)	NGL F5 (MMBNGL)	NGL Mean (MMBNGL)
Afghanistan	onshore	11540102	Karabil-Badkhyz (Southern Area)	oil	100	MMBO	3	1	31.20721051	82.57241762	160.7482394	87.57145988	57.39522864	160.0316211	342.5958055	174.7546354	3.154295995	9.393332217	21.49026227	10.47262643
Afghanistan	onshore	11540102	Karabil-Badkhyz (Southern Area)	gas	40	BCFG	18	1	NA	NA	NA	NA	1388.761928	2857.842056	5013.759327	2992.908203	19.54631917	43.29468196	85.56776256	46.59806891
Afghanistan	onshore	11540103	Murgab Depression Suprasalt	gas	5	BCFG	18	1	NA	NA	NA	NA	61.60228705	210.5607944	483.5149851	234.2052314	0.410695021	1.439682559	3.534149208	1.640036278
Afghanistan	onshore	11540104	Murgab Depression Subsalt	gas	8	BCFG	30	1	NA	NA	NA	NA	3032.393166	10428.39862	22338.63472	11250.83657	73.00288735	258.9360577	605.7927116	288.5613872
Algeria	onshore	20540101	Tanezzuft-Oued Mya Structural/Stratigraphic	oil	100	MMBO	10	1	292.1751507	802.2161113	1450.036019	830.1979506	233.4261942	673.0456804	1354.516255	719.5618582	8.649100455	26.22301109	57.96808572	28.79640161
Algeria	onshore	20540101	Tanezzuft-Oued Mya Structural/Stratigraphic	gas	100	BCFG	60	1	NA	NA	NA	NA	268.8185835	1416.792027	3639.625302	1621.067755	12.76796115	68.50421042	191.9553867	81.15946273
Algeria	onshore	20540201	Tanezzuft-Melrhir Structural/Stratigraphic	oil	64	MMBO	1	1	222.9297519	1042.781599	2703.412573	1200.078606	287.9931932	1391.778549	3890.426151	1647.184648	10.79989566	53.80402408	161.5517297	66.02985371
Algeria	onshore	20540201	Tanezzuft-Melrhir Structural/Stratigraphic	gas	64	BCFG	6	1	NA	NA	NA	NA	316.9132522	1300.269899	3238.445344	1480.218232	21.33808466	90.90697428	244.7464786	106.3768468
Algeria	onshore	20540301	Tanezzuft-Ghadames Structural/Stratigraphic	oil	62.5	MMBO	1	1	618.6927888	2495.359982	5950.038503	2788.422725	796.1297428	3307.494715	8583.001724	3818.762622	29.98901641	128.7543288	359.8242913	152.7464947
Algeria	onshore	20540301	Tanezzuft-Ghadames Structural/Stratigraphic	gas	62.5	BCFG	6	1	NA	NA	NA	NA	877.1488898	3319.207401	7792.875554	3702.967426	92.49521364	359.6962785	924.8487913	415.0436457
Algeria	onshore	20560101	Tanezzuft-Illizi Structural/Stratigraphic	oil	92	MMBO	10	1	552.7219956	2318.758665	5519.918601	2589.023108	2442.295999	10528.40573	27355.54224	12176.53514	50.6831782	224.918458	630.3173228	267.5229425
Algeria	onshore	20560101	Tanezzuft-Illizi Structural/Stratigraphic	gas	92	BCFG	60	1	NA	NA	NA	NA	5344.438181	13102.13823	22343.03125	13385.99438	196.3403367	506.5291352	970.1675431	535.1971058
Algeria	onshore	20580101	Tanezzuft-Timimoun Structural/Stratigraphic	oil	100	MMBO	4	1	6.538407977	24.7199654	79.52619883	31.47916618	23.87622741	90.27845628	306.7115377	118.0148375	1.357359847	5.29882221	18.87557204	7.088033653
Algeria	onshore	20580101	Tanezzuft-Timimoun Structural/Stratigraphic	gas	100	BCFG	24	1	NA	NA	NA	NA	386.6202343	919.6886543	1942.035764	1009.51065	16.89082741	42.98687996	98.11653904	48.44219331
Algeria	onshore	20580201	Tanezzuft-Ahnet Structural/Stratigraphic	oil	100	MMBO	4	1	6.449861027	25.15496169	89.09887198	33.61094928	3.446643933	13.60297634	49.94788609	18.50923193	0.197170564	0.800642596	3.081794529	1.110865579
Algeria	onshore	20580201	Tanezzuft-Ahnet Structural/Stratigraphic	gas	100	BCFG	24	1	NA	NA	NA	NA	871.535751	2677.726391	5962.882134	2954.5581	40.13646416	130.1147136	316.2041228	147.740207
Algeria	onshore	20580301	Tanezzuft-Sbaa Structural/Stratigraphic	oil	100	MMBO	10	1	44.96533527	146.1372501	334.4839868	162.4672118	22.9736606	77.97269974	193.5326002	89.30695078	1.290315602	4.546419686	12.2239581	5.366853747
Algeria	onshore	20580301	Tanezzuft-Sbaa Structural/Stratigraphic	gas	100	BCFG	60	1	NA	NA	NA	NA	137.0347946	442.7959199	1359.73925	555.3647304	1.270549061	4.297139046	14.08349902	5.567679691
Algeria	onshore	20580401	Tanezzuft-Mouydir Structural/Stratigraphic	oil	100	MMBO	5	0.4	0	0	53.73007544	12.4820175	0	0	202.8469623	46.75184797	0	0	12.4921538	2.817577027
Algeria	onshore	20580401	Tanezzuft-Mouydir Structural/Stratigraphic	gas	100	BCFG	30	0.4	NA	NA	NA	NA	0	0	1056.064306	244.8686316	0	0	50.76114149	11.50514354
