Country	Onshore or Offshore	Assessment Unit Code	Assessment Unit Name	Field Type	Percent of Assessed Volume Allocated to this Area	Units for Minimum Field Size	Minimum Field Size	Probability	Oil F95 (MMBO)	Oil F50 (MMBO)	Oil F5 (MMBO)	Oil Mean (MMBO)	Gas F95 (BCFG)	Gas F50 (BCFG)	Gas F5 (BCFG)	Gas Mean (BCFG)	NGL F95 (MMBNGL)	NGL F50 (MMBNGL)	NGL F5 (MMBNGL)	NGL Mean (MMBNGL)
Afghanistan	onshore	NA	onshore total	oil	NA	NA	NA	1	31.20721051	82.57241762	160.7482394	87.57145988	57.39522864	160.0316211	342.5958055	174.7546354	3.154295995	9.393332217	21.49026227	10.47262643
Afghanistan	onshore	NA	onshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	4482.757381	13496.80147	27835.90903	14477.95001	92.95990154	303.6704222	694.8946233	336.7994924
Afghanistan	offshore	NA	offshore total	oil	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0
Afghanistan	offshore	NA	offshore total	gas	NA	NA	NA	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
Afghanistan	NA	NA	total	oil	NA	NA	NA	1	31.20721051	82.57241762	160.7482394	87.57145988	57.39522864	160.0316211	342.5958055	174.7546354	3.154295995	9.393332217	21.49026227	10.47262643
Afghanistan	NA	NA	total	gas	NA	NA	NA	1	NA	NA	NA	NA	4482.757381	13496.80147	27835.90903	14477.95001	92.95990154	303.6704222	694.8946233	336.7994924
Algeria	onshore	NA	onshore total	oil	NA	NA	NA	1	1765.165665	6918.747706	16386.39365	7732.245605	3882.125377	16315.61385	42737.95609	18951.79108	106.9729789	458.0005922	1306.145222	550.5042297
Algeria	onshore	NA	onshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	8559.150239	25058.13602	54011.68784	27513.00207	397.5617046	1290.969795	3142.817283	1473.842267
Algeria	offshore	NA	offshore total	oil	NA	NA	NA	0.6	0	0	0	0	0	0	0	0	0	0	0	0
Algeria	offshore	NA	offshore total	gas	NA	NA	NA	0.6	NA	NA	NA	NA	0	2060.371159	7426.528662	2517.702689	0	85.73504846	340.4370909	110.675598
