Country	Field Type	Country Probability	Oil F95 (MMBO)	Oil F50 (MMBO)	Oil F5 (MMBO)	Oil Mean (MMBO)	Gas F95 (BCFG)	Gas F50 (BCFG)	Gas F5 (BCFG)	Gas Mean (BCFG)	NGL F95 (MMBNGL)	NGL F50 (MMBNGL)	NGL F5 (MMBNGL)	NGL Mean (MMBNGL)
Afghanistan	oil	1	31.20721051	82.57241762	160.7482394	87.57145988	57.39522864	160.0316211	342.5958055	174.7546354	3.154295995	9.393332217	21.49026227	10.47262643
Afghanistan	gas	1	NA	NA	NA	NA	4482.757381	13496.80147	27835.90903	14477.95001	92.95990154	303.6704222	694.8946233	336.7994924
Algeria	oil	1	1765.165665	6918.747706	16386.39365	7732.245605	3882.125377	16315.61385	42737.95609	18951.79108	106.9729789	458.0005922	1306.145222	550.5042297
Algeria	gas	1	NA	NA	NA	NA	8559.150239	27118.50717	61438.2165	30030.70476	397.5617046	1376.704844	3483.254374	1584.517865
Angola	oil	1	4522.70242	13675.65991	27275.82505	14516.01524	9292.913529	29072.90451	63017.41728	31645.66426	434.8102763	1412.146833	3301.210895	1581.587926
Angola	gas	1	NA	NA	NA	NA	2260.581737	9666.948312	24793.70212	11093.03032	92.80995027	412.4247689	1145.421353	488.5135144
Argentina	oil	1	867.4886213	2964.675184	6384.369432	3217.53848	2388.687285	8861.238515	21313.50232	9983.902978	52.81994674	238.8651688	662.1513595	283.0711789
Argentina	gas	1	NA	NA	NA	NA	7388.758	24803.21015	52327.98453	26711.22178	150.9509864	526.531548	1211.456212	584.1586538
Australia	oil	1	1559.764828	4589.075108	9729.534841	4974.662567	4083.241666	12278.26771	27476.00969	13537.53603	208.3933447	655.1163075	1587.283935	744.2636615
Australia	gas	1	NA	NA	NA	NA	28107.01787	90719.41634	181344.2146	95880.67983	1482.736054	4755.411469	9845.34806	5088.90343
Australia/Indonesia Zone of Cooperation	oil	1	16.87293758	51.70391002	116.51634	57.30914738	34.29286508	110.6307461	272.797216	126.3377651	1.924816174	6.474159479	17.0012884	7.583930548
Australia/Indonesia Zone of Cooperation	gas	1	NA	NA	NA	NA	1187.461131	3921.005405	9250.043996	4409.624602	48.47750184	168.1625005	429.0155832	194.2660021
Austria	oil	1	0	0	0	0	0	0	0	0	0	0	0	0
Austria	gas	1	NA	NA	NA	NA	25.55970325	63.86719536	132.6075529	69.61610403	0.185924519	0.497958248	1.132605591	0.557178143
Azerbaijan	oil	1	1709.035575	5853.935691	12392.48691	6305.647099	4185.672665	15405.70125	35586.082	17071.44683	235.6327463	899.0470573	2233.286706	1023.10677
Azerbaijan	gas	1	NA	NA	NA	NA	13405.76379	47500.18459	97159.53698	50377.68026	489.3115807	1762.623551	3877.743797	1919.4504
Bahrain	oil	1	294.3187574	851.1929094	1660.028909	898.9938966	287.1318725	856.6189671	1813.749428	929.0735639	7.683006637	23.57661954	52.31175991	25.92569723
Bahrain	gas	1	NA	NA	NA	NA	6353.883447	14887.12409	27188.90534	15587.00933	253.556505	636.8161848	1283.022197	685.4861405
Bangladesh	oil	1	11.420738	32.88558227	75.35257265	36.69994315	22.60262232	70.35409541	174.4864716	80.71488579	1.252305615	4.107235558	10.89764417	4.836257196
