Province Code	Province Name	Onshore or Offshore	Assessment Unit Code	Assessment Unit Name	Field Type	Percent of Assessed Volume Allocated to this Area	Units for Minimum Field Size	Minimum Field Size	Probability	Oil F95 (MMBO)	Oil F50 (MMBO)	Oil F5 (MMBO)	Oil Mean (MMBO)	Gas F95 (BCFG)	Gas F50 (BCFG)	Gas F5 (BCFG)	Gas Mean (BCFG)	NGL F95 (MMBNGL)	NGL F50 (MMBNGL)	NGL F5 (MMBNGL)	NGL Mean (MMBNGL)
1008	Timan-Pechora Basin	onshore	10080101	Northwest Izhma-Pechora Depression	oil	90	MMBO	5	0.4	0	0	68.1202563	16.1021411	0	0	48.60486674	11.26934438	0	0	2.954448898	0.677247922
1008	Timan-Pechora Basin	onshore	10080101	Northwest Izhma-Pechora Depression	gas	80	BCFG	30	0.4	NA	NA	NA	NA	0	0	366.9670996	85.95971161	0	0	14.87401383	3.437516311
1008	Timan-Pechora Basin	offshore	10080101	Northwest Izhma-Pechora Depression	oil	10	MMBO	5	0.4	0	0	7.568917367	1.789126789	0	0	5.400540749	1.252149376	0	0	0.3282721	0.075249769
1008	Timan-Pechora Basin	offshore	10080101	Northwest Izhma-Pechora Depression	gas	20	BCFG	30	0.4	NA	NA	NA	NA	0	0	91.7417749	21.4899279	0	0	3.718503458	0.859379078
1008	Timan-Pechora Basin	onshore	10080102	Main Basin Platform	oil	80	MMBO	5	1	1969.889065	3728.817035	6638.338625	3950.001312	1263.358538	2566.498686	4915.415319	2761.715056	68.2862892	150.7002144	314.7008124	165.697182
1008	Timan-Pechora Basin	onshore	10080102	Main Basin Platform	gas	60	BCFG	30	1	NA	NA	NA	NA	2323.061333	6094.134732	12732.99625	6637.428697	85.75685502	237.7507195	541.076938	265.5849068
1008	Timan-Pechora Basin	offshore	10080102	Main Basin Platform	oil	20	MMBO	5	1	492.4722662	932.2042587	1659.584656	987.5003279	315.8396345	641.6246716	1228.85383	690.428764	17.0715723	37.67505361	78.67520311	41.42429551
1008	Timan-Pechora Basin	offshore	10080102	Main Basin Platform	gas	40	BCFG	30	1	NA	NA	NA	NA	1548.707555	4062.756488	8488.664169	4424.952465	57.17123668	158.5004797	360.7179587	177.0566045
1008	Timan-Pechora Basin	onshore	10080103	Foredeep Basins	oil	90	MMBO	5	1	48.26937118	167.867841	420.9101375	192.7447283	47.35471961	168.907464	443.2912692	197.4078211	2.654890295	9.87857672	27.642959	11.83077778
1008	Timan-Pechora Basin	onshore	10080103	Foredeep Basins	gas	94	BCFG	30	1	NA	NA	NA	NA	7484.077093	17692.54857	32201.19333	18491.13952	272.3419494	685.4643956	1383.675291	739.2473446
1008	Timan-Pechora Basin	offshore	10080103	Foredeep Basins	oil	10	MMBO	5	1	5.363263465	18.65198233	46.76779306	21.41608092	5.261635512	18.767496	49.25458547	21.93420235	0.294987811	1.097619636	3.071439889	1.314530865
1008	Timan-Pechora Basin	offshore	10080103	Foredeep Basins	gas	6	BCFG	30	1	NA	NA	NA	NA	477.7070485	1129.311611	2055.395319	1180.285501	17.38352869	43.75304653	88.31969944	47.18600072
1008	Timan-Pechora Basin	onshore	10500101	Kolguyev Terrace	oil	5	MMBO	10	1	6.053292653	25.00933475	60.81041638	28.12612428	14.50572842	61.27661107	156.3879492	70.29959973	0.809806268	3.563223989	9.848830134	4.223152069
1008	Timan-Pechora Basin	onshore	10500101	Kolguyev Terrace	gas	5	BCFG	60	1	NA	NA	NA	NA	180.5869344	728.6979818	1687.248461	807.3863892	6.764211742	28.28183384	71.45771971	32.33712287
1008	Timan-Pechora Basin	offshore	10500101	Kolguyev Terrace	oil	95	MMBO	10	1	115.0125604	475.1773603	1155.397911	534.3963612	275.6088399	1164.25561	2971.371035	1335.692395	15.38631909	67.70125579	187.1277725	80.23988931
1008	Timan-Pechora Basin	offshore	10500101	Kolguyev Terrace	gas	95	BCFG	60	1	NA	NA	NA	NA	3431.151754	13845.26165	32057.72075	15340.3414	128.5200231	537.3548429	1357.696674	614.4053344
1009	Dnieper-Donets Basin	onshore	10090101	Carboniferous-Lower Permian Clastics	oil	100	MMBO	3	1	85.80847409	235.4034908	466.4133455	250.697657	158.4810639	456.8278267	996.8072152	501.665426	8.812858039	26.75570192	62.85202162	30.08716999
1009	Dnieper-Donets Basin	onshore	10090101	Carboniferous-Lower Permian Clastics	gas	100	BCFG	18	1	NA	NA	NA	NA	6827.695983	13981.29898	22374.85465	14233.05161	167.7872144	401.5381596	773.0278558	426.7059571
1009	Dnieper-Donets Basin	onshore	10090102	Devonian Synrift	oil	100	MMBO	7	0.9	0	783.7762598	1886.395304	847.6807014	0	1512.71233	3957.225621	1693.766989	0	87.98629521	247.7187148	101.5982794
1009	Dnieper-Donets Basin	onshore	10090102	Devonian Synrift	gas	100	BCFG	42	0.9	NA	NA	NA	NA	0	7252.066243	16041.17691	7622.831484	0	279.9151714	676.7149557	303.8039164
1015	Volga-Ural Region	onshore	10150101	Supra-Domanik Carbonates/Clastics	oil	100	MMBO	1	1	796.2877897	1614.471366	2734.179812	1676.162178	187.713246	398.3906165	721.9403773	419.4366839	10.20476996	23.30460127	46.41740698	25.14866452
1015	Volga-Ural Region	onshore	10150101	Supra-Domanik Carbonates/Clastics	gas	100	BCFG	6	1	NA	NA	NA	NA	271.3049029	677.6306196	1314.683909	721.1592709	7.827382059	20.11701046	40.68021717	21.64692078
1015	Volga-Ural Region	onshore	10150102	Lower Volga	oil	100	MMBO	1	1	69.28653585	144.5138026	240.3529355	148.4398464	48.11792178	107.1025084	201.3419467	113.6987258	2.605579412	6.270808728	12.87010298	6.824004102
1015	Volga-Ural Region	onshore	10150102	Lower Volga	gas	100	BCFG	6	1	NA	NA	NA	NA	187.6385253	422.1357838	781.971519	444.4418989	5.323414616	12.67384777	26.23287222	13.81257634
1015	Volga-Ural Region	onshore	10150103	Sub-Domanik Devonian Clastics	oil	100	MMBO	1	1	316.7613672	664.9889812	1106.085039	682.3352756	90.8049098	196.7097261	346.0921046	204.8275039	4.971067462	11.44891801	22.41983909	12.299145
1015	Volga-Ural Region	onshore	10150103	Sub-Domanik Devonian Clastics	gas	100	BCFG	6	1	NA	NA	NA	NA	83.56841735	402.1743808	1208.314471	490.4150991	4.050413507	20.02287403	63.84579622	25.18762882
1015	Volga-Ural Region	onshore	10150201	Permian Reefs/Thrust Folds	oil	100	MMBO	3	1	13.81286185	38.25067537	81.18342091	41.61726403	10.60648508	30.529036	68.82869898	33.89737473	0.595093622	1.78460225	4.320557172	2.034685901
1015	Volga-Ural Region	onshore	10150201	Permian Reefs/Thrust Folds	gas	100	BCFG	18	1	NA	NA	NA	NA	629.4441955	1468.277462	2543.84614	1513.470002	36.54428942	87.03976866	159.2611228	90.93031346
1016	North Caspian Basin	onshore	10160101	North and West Margins Subsalt Pinnacle Reefs	oil	100	MMBO	20	1	603.6127229	1463.983126	2630.498944	1521.864445	1105.815829	2855.635475	5665.751814	3051.766255	60.98941915	166.1290148	361.5458723	182.7473641
1016	North Caspian Basin	onshore	10160101	North and West Margins Subsalt Pinnacle Reefs	gas	100	BCFG	120	1	NA	NA	NA	NA	8130.181498	24743.77018	56118.73493	27492.58034	395.2768823	1328.143002	3478.409503	1553.890511
1016	North Caspian Basin	onshore	10160102	North and West Margins Subsalt Barrier Reefs	oil	100	MMBO	10	1	326.6783206	606.936514	1040.236307	637.1353175	466.3608004	900.7512203	1619.805046	955.665615	24.85121094	52.8138216	104.5335842	57.25938578
1016	North Caspian Basin	onshore	10160102	North and West Margins Subsalt Barrier Reefs	gas	100	BCFG	60	1	NA	NA	NA	NA	1685.41148	3152.723726	5423.502476	3315.290376	24.04373126	47.00529038	84.7675668	49.7656718
1016	North Caspian Basin	onshore	10160103	East and Southeast Margins Subsalt	oil	100	MMBO	10	1	825.6308541	2076.043324	3957.705379	2196.37924	1615.756725	4193.593925	8520.175082	4514.613172	88.91665218	245.5442101	542.6091156	271.3038567
1016	North Caspian Basin	onshore	10160103	East and Southeast Margins Subsalt	gas	100	BCFG	60	1	NA	NA	NA	NA	740.9787619	1995.031111	4759.968608	2266.576113	36.05872363	98.78764165	240.3660427	113.3836037
1016	North Caspian Basin	onshore	10160104	South Margin Subsalt	oil	15.5	MMBO	20	1	653.6881473	2148.822457	5014.409114	2397.429995	1293.854485	4326.663078	10614.07301	4932.819396	71.93247619	254.2654183	666.4072008	295.9760804
1016	North Caspian Basin	onshore	10160104	South Margin Subsalt	gas	17	BCFG	120	1	NA	NA	NA	NA	1489.631552	5154.136068	13907.70908	6068.302684	35.82862665	127.1132544	353.2365504	151.6716337
