Province Code	Province Name	Field Type	Province Probability	Oil F95 (MMBO)	Oil F50 (MMBO)	Oil F5 (MMBO)	Oil Mean (MMBO)	Gas F95 (BCFG)	Gas F50 (BCFG)	Gas F5 (BCFG)	Gas Mean (BCFG)	NGL F95 (MMBNGL)	NGL F50 (MMBNGL)	NGL F5 (MMBNGL)	NGL Mean (MMBNGL)
1008	Timan-Pechora Basin	oil	1	2637.059819	5347.727812	10057.49871	5732.076202	1921.929096	4621.330539	9818.579396	5089.999332	104.503865	270.6159442	624.3497381	305.4823253
1008	Timan-Pechora Basin	gas	1	NA	NA	NA	NA	15445.29172	43552.71104	89681.92716	46988.98361	567.9378046	1691.105318	3821.536799	1880.114209
1009	Dnieper-Donets Basin	oil	1	85.80847409	1019.179751	2352.808649	1098.378358	158.4810639	1969.540157	4954.032837	2195.432415	8.812858039	114.7419971	310.5707364	131.6854494
1009	Dnieper-Donets Basin	gas	1	NA	NA	NA	NA	6827.695983	21233.36522	38416.03157	21855.88309	167.7872144	681.453331	1449.742811	730.5098736
1015	Volga-Ural Region	oil	1	1196.148555	2462.224825	4161.801208	2548.554564	337.2425627	732.7318871	1338.203128	771.8602883	18.37651046	42.80893026	86.02790622	46.30649953
1015	Volga-Ural Region	gas	1	NA	NA	NA	NA	1171.956041	2970.218246	5848.816039	3169.486271	53.74549961	139.8535009	290.0200084	151.5774394
1016	North Caspian Basin	oil	1	7151.06206	21247.0363	46658.15994	23319.89864	12780.67596	39614.50927	93104.27874	44587.67348	708.3854574	2324.099932	5864.636724	2674.92075
1016	North Caspian Basin	gas	1	NA	NA	NA	NA	21662.93703	65584.00137	158094.5831	74463.45867	706.6395898	2332.953093	6153.370067	2736.740294
1050	South Barents Basin	oil	1	52.03407719	184.6824673	503.2751659	218.8564018	125.3284652	453.9419727	1291.309542	547.5557045	7.010313328	26.56820062	80.22306347	32.85080225
1050	South Barents Basin	gas	1	NA	NA	NA	NA	46357.50158	146107.0964	320681.9506	160309.8918	860.2314873	2888.076283	7233.276515	3315.844341
1059	Ludlov Saddle	oil	1	9.18248421	32.59102364	88.81326458	38.62171796	22.11678797	80.10740695	227.8781545	96.62747727	1.237114117	4.688505993	14.1570112	5.797200397
1059	Ludlov Saddle	gas	1	NA	NA	NA	NA	8180.735573	25783.60524	56590.93245	28289.9809	151.8055566	509.6605206	1276.460562	585.1490014
1060	North Barents Basin	oil	0.95	21.37443751	121.3620974	287.0748767	135.1486216	43.80735286	299.5044038	738.7362755	338.4377923	2.073835028	17.61659617	46.2287034	20.3381103
1060	North Barents Basin	gas	0.95	NA	NA	NA	NA	2560.274381	54525.23906	126925.8648	59481.97417	43.91766725	1074.073853	2838.000972	1229.773667
1108	Azov-Kuban Basin	oil	1	126.1640124	384.4852528	816.7606189	417.3767899	155.5869754	543.6223581	1479.272876	645.0872803	8.724400841	31.82653511	91.93089182	38.7102105
1108	Azov-Kuban Basin	gas	1	NA	NA	NA	NA	4308.710701	11002.50312	20820.69036	11606.44744	55.38444541	158.7384307	358.3346128	176.5347321
1109	Middle Caspian Basin	oil	1	1827.587711	4736.821114	8469.507926	4887.124559	3708.389316	10655.97939	20998.5965	11268.71091	211.9101369	618.9667549	1230.902474	655.8722095
1109	Middle Caspian Basin	gas	1	NA	NA	NA	NA	6103.232297	28743.84333	50912.61409	28416.67352	159.0905907	1007.188424	1887.049766	1013.785878
1112	South Caspian Basin	oil	1	4021.659057	14610.45051	31063.38273	15724.87672	12452.42862	47807.17492	110766.2438	52956.27363	698.1352914	2786.701603	6964.608075	3174.568139
1112	South Caspian Basin	gas	1	NA	NA	NA	NA	31628.98181	112900.2386	233246.3771	120353.8835	1219.241451	4518.419431	10072.43875	4940.148064
1150	North Ustyurt Basin	oil	1	167.916876	792.9003287	2289.071187	953.714798	40.89116627	168.3356452	471.2394934	200.8721216	1.761655652	6.994421435	20.18454079	8.479092699
1150	North Ustyurt Basin	gas	1	NA	NA	NA	NA	679.9822735	9571.143158	25259.59935	10569.14934	18.74929076	382.0485049	1100.135046	435.7497163
1154	Amu-Darya Basin	oil	1	92.70119734	252.9001346	506.563379	270.2741366	498.5410627	1426.261144	3198.325459	1581.898146	27.44623883	83.70370444	201.8393696	94.84365538
1154	Amu-Darya Basin	gas	1	NA	NA	NA	NA	46336.15996	150583.8568	317319.2517	162068.4924	1022.983281	3507.646246	8127.389975	3900.635373
1174	West Siberian Basin	oil	1	17016.60382	51058.68928	106708.5352	55235.17719	34171.27628	112310.9323	261560.564	125517.367	1895.21431	6542.879415	16511.0868	7527.282425
1174	West Siberian Basin	gas	1	NA	NA	NA	NA	138942.0194	469655.5142	1053881.423	517416.376	3238.46825	11426.68956	27919.45398	12945.4847
1207	Baykit Arch	oil	1	146.9572202	1006.526529	2978.840801	1212.649411	695.4275692	4863.72955	15455.8947	6053.690542	39.76696295	282.2653216	957.9036293	362.3764891
1207	Baykit Arch	gas	1	NA	NA	NA	NA	1108.688842	9283.655311	26349.97615	10929.30454	48.63157712	406.5582146	1231.815954	491.6171267
1209	Angara-Lena Terrace	oil	1	56.39456792	213.2384347	523.1228203	241.6364369	264.1188887	1036.666657	2736.619682	1207.781751	14.84139584	60.24865129	170.9199172	72.3554371
1209	Angara-Lena Terrace	gas	1	NA	NA	NA	NA	3740.252692	9451.987373	15444.04495	9496.733504	160.228031	412.2407037	747.1644827	427.8154671
1210	Nepa-Botuoba Arch	oil	1	281.9728396	1066.192173	2615.614101	1208.182184	1320.594444	5183.333286	13683.09841	6038.908754	74.20697922	301.2432564	854.5995862	361.7771855
1210	Nepa-Botuoba Arch	gas	1	NA	NA	NA	NA	9425.436785	23819.00818	38918.99327	23931.76843	403.774638	1038.846573	1882.854496	1078.094977
1211	Cis-Patom Foredeep	oil	1	37.59637862	142.1589565	348.7485469	161.0909579	176.0792592	691.1111048	1824.413121	805.1878338	9.894263896	40.16576753	113.9466115	48.23695807
1211	Cis-Patom Foredeep	gas	1	NA	NA	NA	NA	1795.321292	4536.953939	7413.141576	4558.432082	76.90945487	197.8755378	358.6389517	205.3514242
1322	North Sakhalin Basin	oil	1	673.1277251	2356.344307	5224.705769	2581.749011	3279.093698	11664.11065	26847.55339	12902.9776	183.2256657	677.961342	1688.405959	774.3913088
1322	North Sakhalin Basin	gas	1	NA	NA	NA	NA	10736.35834	40858.50756	90439.17601	44548.39078	520.134268	2000.655495	4679.676653	2224.911509
2004	Ma'Rib-Al Jawf/Masila Basin	oil	1	359.8682228	935.8059328	1628.287709	959.1317289	1335.504874	3629.136548	7054.64284	3839.530574	74.35619716	211.6261908	453.2072595	230.6965609
2004	Ma'Rib-Al Jawf/Masila Basin	gas	1	NA	NA	NA	NA	929.546253	2051.185542	3447.336183	2104.250463	37.19748134	87.70801535	164.6718662	92.5523001
2006	Shabwah Basin	oil	1	257.0487306	668.4328091	1163.062649	685.094092	953.9320532	2592.240391	5039.0306	2742.521839	53.1115694	151.1615649	323.7194711	164.7832578
2006	Shabwah Basin	gas	1	NA	NA	NA	NA	663.9616093	1465.13253	2462.382988	1503.036045	26.56962953	62.64858239	117.6227616	66.10878578
2009	Masila-Jeza Basin	oil	1	411.277969	1069.492495	1860.900239	1096.150547	1526.291285	4147.584626	8062.44896	4388.034942	84.97851104	241.8585038	517.9511537	263.6532125
2009	Masila-Jeza Basin	gas	1	NA	NA	NA	NA	1062.338575	2344.212048	3939.812781	2404.857671	42.51140725	100.2377318	188.1964185	105.7740573
2010	Ghudun-Khasfeh Flank Province	oil	1	147.4743276	777.8058934	2206.614502	926.443927	417.5957918	2256.866247	6877.818136	2781.699954	23.66249964	132.0975679	428.1775994	166.8874653
2010	Ghudun-Khasfeh Flank Province	gas	1	NA	NA	NA	NA	724.5452172	2620.345503	5641.411576	2841.537453	54.22751861	203.6354897	482.7186907	227.5080463
2011	South Oman Salt Basin	oil	1	28.6830444	88.96683736	188.4793431	96.569307	83.10102479	264.206901	583.8216506	289.9367767	6.046283532	19.53255267	44.74217413	21.73558214
2011	South Oman Salt Basin	gas	1	NA	NA	NA	NA	264.2493017	887.0700312	1822.34075	945.8027425	9.029214913	30.66103942	65.24833621	33.09379008
2013	Huqf-Haushi Uplift	oil	1	8.825552122	27.3744115	57.99364403	29.71363292	25.56954609	81.29443107	179.637431	89.21131592	1.860394933	6.010016206	13.76682281	6.687871427
2013	Huqf-Haushi Uplift	gas	1	NA	NA	NA	NA	88.08310055	295.6900104	607.4469165	315.2675808	3.009738304	10.22034647	21.7494454	11.03126336
2014	Ghaba Salt Basin	oil	1	110.3194015	342.1801437	724.9205504	371.4204115	319.6193261	1016.180388	2245.467887	1115.141449	23.25493666	75.12520257	172.0852851	83.59839284
2014	Ghaba Salt Basin	gas	1	NA	NA	NA	NA	1101.038757	3696.12513	7593.086457	3940.84476	37.6217288	127.7543309	271.8680676	137.890792
2015	Central Oman Platform	oil	1	110.4250811	380.6937129	885.2999587	424.4180812	195.9183555	660.7928935	1563.087608	741.259344	10.00872385	33.65961587	79.86936812	37.83179361
2015	Central Oman Platform	gas	1	NA	NA	NA	NA	765.2817718	2317.362859	4812.823981	2497.273696	26.04206846	80.48793332	172.8618741	87.64631661
2016	Fahud Salt Basin	oil	1	239.1192925	902.1234641	2202.933398	1020.248304	302.1407613	1087.86669	2713.291458	1241.838054	10.8287481	39.86631646	100.523919	45.62377022
2016	Fahud Salt Basin	gas	1	NA	NA	NA	NA	1176.644719	3329.428152	7084.774514	3636.403364	40.13852028	117.0617224	258.6417639	129.2474516
2017	Oman Mountains	oil	1	3.725838443	19.14551553	51.50498342	22.28689823	1.796324885	9.405008686	26.47373701	11.16203684	0.089104367	0.468782306	1.333109202	0.558191469
2017	Oman Mountains	gas	1	NA	NA	NA	NA	1.607412634	7.801861468	29.48995641	10.61450644	0.079638109	0.388481099	1.487700836	0.531151769
2019	Rub Al Khali Basin	oil	1	8675.760477	32520.1584	78411.08969	36647.16203	15111.6368	65011.94239	177630.6588	76746.11446	832.0639192	3742.546608	10945.23654	4534.73366
2019	Rub Al Khali Basin	gas	1	NA	NA	NA	NA	91331.89794	322141.5863	690919.9462	348965.9767	6288.901199	23085.58876	54254.61675	25733.5929
2020	Interior Homocline-Central Arch	oil	1	6335.167313	16012.48713	28113.1204	16494.97077	8011.291529	20881.52599	38935.15153	21842.05266	429.2921855	1177.412105	2428.584461	1270.624214
