Province Code	Province Name	Onshore or Offshore	Assessment Unit Code	Assessment Unit Name	Field Type	Percent of Assessed Volume Allocated to this Area	Units for Minimum Field Size	Minimum Field Size	Probability	Oil F95 (MMBO)	Oil F50 (MMBO)	Oil F5 (MMBO)	Oil Mean (MMBO)	Gas F95 (BCFG)	Gas F50 (BCFG)	Gas F5 (BCFG)	Gas Mean (BCFG)	NGL F95 (MMBNGL)	NGL F50 (MMBNGL)	NGL F5 (MMBNGL)	NGL Mean (MMBNGL)
1008	Timan-Pechora Basin	onshore	NA	onshore total	oil	NA	NA	NA	1	2024.211729	3921.694211	7188.179435	4186.974305	1325.218986	2796.682761	5563.699404	3040.691821	71.75098576	164.1420151	355.1470505	182.4283598
1008	Timan-Pechora Basin	onshore	NA	onshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	9987.72536	24515.38128	46988.40514	26021.91432	364.8630162	951.496949	2011.083963	1040.606891
1008	Timan-Pechora Basin	offshore	NA	offshore total	oil	NA	NA	NA	1	612.8480901	1426.033601	2869.319278	1545.101897	596.71011	1824.647778	4254.879991	2049.307511	32.7528792	106.473929	269.2026876	123.0539655
1008	Timan-Pechora Basin	offshore	NA	offshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	5457.566358	19037.32975	42693.52202	20967.06929	203.0747885	739.6083691	1810.452836	839.5073188
1008	Timan-Pechora Basin	NA	NA	total	oil	NA	NA	NA	1	2637.059819	5347.727812	10057.49871	5732.076202	1921.929096	4621.330539	9818.579396	5089.999332	104.503865	270.6159442	624.3497381	305.4823253
1008	Timan-Pechora Basin	NA	NA	total	gas	NA	NA	NA	1	NA	NA	NA	NA	15445.29172	43552.71104	89681.92716	46988.98361	567.9378046	1691.105318	3821.536799	1880.114209
1009	Dnieper-Donets Basin	onshore	NA	onshore total	oil	NA	NA	NA	1	85.80847409	1019.179751	2352.808649	1098.378358	158.4810639	1969.540157	4954.032837	2195.432415	8.812858039	114.7419971	310.5707364	131.6854494
1009	Dnieper-Donets Basin	onshore	NA	onshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	6827.695983	21233.36522	38416.03157	21855.88309	167.7872144	681.453331	1449.742811	730.5098736
1009	Dnieper-Donets Basin	offshore	NA	offshore total	oil	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0
1009	Dnieper-Donets Basin	offshore	NA	offshore total	gas	NA	NA	NA	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
