Total Petroleum System Code	Total Petroleum System Name	Field Type	Total Petroleum System Probability	Oil F95 (MMBO)	Oil F50 (MMBO)	Oil F5 (MMBO)	Oil Mean (MMBO)	Gas F95 (BCFG)	Gas F50 (BCFG)	Gas F5 (BCFG)	Gas Mean (BCFG)	NGL F95 (MMBNGL)	NGL F50 (MMBNGL)	NGL F5 (MMBNGL)	NGL Mean (MMBNGL)
100801	Domanik-Paleozoic	oil	1	2515.993966	4847.541117	8841.290386	5169.553717	1631.814528	3395.798318	6690.820411	3684.007337	88.30773961	199.3514644	427.3731354	221.0192839
100801	Domanik-Paleozoic	gas	1	NA	NA	NA	NA	11833.55303	28978.7514	55936.95794	30841.25582	432.6535698	1125.468641	2392.382405	1233.371752
100901	Dnieper-Donets Paleozoic	oil	1	85.80847409	1019.179751	2352.808649	1098.378358	158.4810639	1969.540157	4954.032837	2195.432415	8.812858039	114.7419971	310.5707364	131.6854494
100901	Dnieper-Donets Paleozoic	gas	1	NA	NA	NA	NA	6827.695983	21233.36522	38416.03157	21855.88309	167.7872144	681.453331	1449.742811	730.5098736
101501	Volga-Ural Domanik-Paleozoic	oil	1	1182.335693	2423.97415	4080.617787	2506.9373	326.6360776	702.2028511	1269.374429	737.9629136	17.78141684	41.02432801	81.70734905	44.27181363
101501	Volga-Ural Domanik-Paleozoic	gas	1	NA	NA	NA	NA	542.5118456	1501.940784	3304.969899	1656.016269	17.20121018	52.81373226	130.7588856	60.64712593
101502	Belsk Basin	oil	1	13.81286185	38.25067537	81.18342091	41.61726403	10.60648508	30.529036	68.82869898	33.89737473	0.595093622	1.78460225	4.320557172	2.034685901
101502	Belsk Basin	gas	1	NA	NA	NA	NA	629.4441955	1468.277462	2543.84614	1513.470002	36.54428942	87.03976866	159.2611228	90.93031346
101601	Paleozoic North Caspian	oil	1	7151.06206	21247.0363	46658.15994	23319.89864	12780.67596	39614.50927	93104.27874	44587.67348	708.3854574	2324.099932	5864.636724	2674.92075
101601	Paleozoic North Caspian	gas	1	NA	NA	NA	NA	21662.93703	65584.00137	158094.5831	74463.45867	706.6395898	2332.953093	6153.370067	2736.740294
105001	South and North Barents Triassic-Jurassic	oil	1	203.656852	838.8222834	2095.371635	955.1492269	481.3671744	2059.086005	5385.682957	2388.612969	26.51738783	120.1377826	337.5853807	143.4491543
105001	South and North Barents Triassic-Jurassic	gas	1	NA	NA	NA	NA	60710.25022	240989.9003	537943.717	264229.5747	1191.238946	5037.447333	12776.89244	5777.509467
110801	Azov-Kuban Mesozoic-Cenozoic	oil	1	126.1640124	384.4852528	816.7606189	417.3767899	155.5869754	543.6223581	1479.272876	645.0872803	8.724400841	31.82653511	91.93089182	38.7102105
110801	Azov-Kuban Mesozoic-Cenozoic	gas	1	NA	NA	NA	NA	4308.710701	11002.50312	20820.69036	11606.44744	55.38444541	158.7384307	358.3346128	176.5347321
110901	Terek-Caspian	oil	1	1338.981451	2690.977755	4796.817772	2828.909871	3023.568677	6973.896634	13446.99244	7440.284035	178.8950658	416.8448493	815.257605	446.4203859
110901	Terek-Caspian	gas	1	NA	NA	NA	NA	5213.780955	20344.30525	35106.5755	20339.03157	143.6731065	901.9315959	1645.878736	901.2896671
110902	South Mangyshlak	oil	1	303.829419	614.5458854	1121.299476	651.2886766	375.2670219	897.606619	2052.522026	1014.337122	14.65072725	35.79848427	83.18748182	40.56558525
