Total Petroleum System Code	Total Petroleum System Name	Major Commodity	Cumulative Oil (MMBO)	Remaining Oil (MMBO)	Known Oil (MMBO)	Cumulative Gas (BCFG)	Remaining Gas (BCFG)	Known Gas (BCFG)	Cumulative NGL (MMBNGL)	Remaining NGL (MMBNGL)	Known NGL (MMBNGL)	Total Cumulative Petroleum (MMBOE)	Total Remaining Petroleum (MMBOE)	Total Known Petroleum (MMBOE)	Mean Undiscovered Oil (MMBO)	Mean Undiscovered Gas (BCFG)	Mean Undiscovered NGL (MMBNGL)	Total Mean Undiscovered Petroleum (MMBOE)	Oil Endowment (MMBO)	Gas Endowment (BCFG)	NGL Endowment (MMBNGL)	Total Petroleum Endowment (MMBOE)	"Discovery Maturity, Oil (%)"	"Discovery Maturity, Gas (%)"	"Discovery Maturity, NGL (%)"	"Discovery Maturity, Total Petroleum (%)"	Future Oil (MMBO)	Future Gas (BCFG)	Future NGL (MMBNGL)	Total Future Petroleum (MMBOE)	
100801	Domanik-Paleozoic	Oil	3346	9723	13069	12374	24259	36632	362	353	716	5771	14119	19890	5170	34525	1454	12378	18239	71158	2170	32268	72	51	33	62	14892	58784	1808	26497	
100901	Dnieper-Donets Paleozoic	Gas	110	1501	1611	35453	23645	59098	119	81	200	6137	5523	11660	1098	24051	862	5969	2709	83149	1062	17629	59	71	19	66	2599	47697	943	11492	
101501	Volga-Ural Domanik-Paleozoic	Oil	42584	21288	63872	15846	80612	96458	304	792	1096	45529	35515	81044	2507	2394	105	3011	66379	98852	1200	84055	96	98	91	96	23795	83006	897	38526	
101502	Belsk Basin	Gas	106	-41	65	571	2067	2638	3	2	5	204	305	509	42	1547	93	392	106	4185	98	901	61	63	5	56	1	3615	95	698	
101601	Paleozoic North Caspian	Oil	822	9987	10808	1745	155231	156976	209	8681	8890	1322	44539	45861	23320	119051	5412	48573	34128	276027	14302	94435	32	57	62	49	33307	274282	14093	93113	
105001	South and North Barents Triassic-Jurassic	Gas	0	51	51	0	78143	78143	0	100	100	0	13175	13175	955	266618	5921	51312	1007	344761	6021	64488	5	23	2	20	1006	344761	6021	64488	
110801	Azov-Kuban Mesozoic-Cenozoic	Gas	1273	-750	524	7586	11118	18704	67	-12	56	2605	1091	3696	417	12252	215	2675	941	30955	271	6371	56	60	21	58	-332	23369	203	3766	
110901	Terek-Caspian	Oil	752	2738	3490	192	7648	7840	8	22	29	792	4034	4826	2829	27779	1348	8807	6319	35619	1377	13632	55	22	2	35	5567	35427	1369	12841	
110902	South Mangyshlak	Oil	2406	2835	5241	28	5679	5707	22	24	46	2433	3806	6239	651	2262	72	1100	5893	7969	118	7339	89	72	39	85	3486	7941	96	4906	
110903	Stavropol-Prikumsk	Oil	1200	-380	820	9670	3829	13499	18	-15	3	2830	243	3073	1407	9644	250	3264	2227	23143	253	6338	37	58	1	48	1027	13473	235	3507	
111201	Oligocene-Miocene Maykop/Diatom	Oil	11681	5758	17438	8591	27403	35994	221	282	503	13334	10607	23941	15725	173310	8115	52725	33163	209304	8618	76665	53	17	6	31	21483	200713	8397	63332	
115001	Buzachi Arch and Surrounding Areas Composite	Oil	459	1827	2286	0	943	943	0	0	0	459	1984	2443	814	89	2	831	3100	1033	2	3274	74	91	0	75	2641	1033	2	2815	
115002	North Ustyurt Jurassic	Oil	0	80	80	0	1450	1450	0	8	8	0	330	330	139	2180	69	572	220	3630	77	902	37	40	11	37	220	3630	77	902	
115003	North Ustyurt Paleozoic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	8500	374	1790	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
115401	Amu-Darya Jurassic-Cretaceous	Gas	80	686	766	78540	152073	230614	191	984	1175	13361	27016	40377	270	163650	3995	31541	1037	394264	5171	71918	74	58	23	56	957	315724	4979	58557	
117401	Bazhenov-Neocomian	Oil	45819	72153	117972	29287	68295	97582	102	662	764	50802	84198	135000	42947	96934	5749	64852	160919	194516	6514	199852	73	50	12	68	115100	165229	6412	149050
117402	Togur-Tyumen	Oil	645	11111	11756	443	4738	5180	0	3	3	719	11903	12623	7474	5516	316	8709	19230	10697	319	21332	61	48	1	59	18584	10254	319	20613
117403	Northern West Siberian Mesozoic Composite	Gas	66	10119	10185	188736	978552	1167288	170	2205	2375	31692	175416	207107	4814	540483	14407	109302	14999	1707771	16782	316409	68	68	14	65	14933	1519035	16612	284718
120701	Yenisey Foldbelt Riphean-Craton Margin Riphean	Oil	0	34	34	0	5052	5052	0	60	60	0	936	936	1213	16983	854	4897	1246	22035	914	5833	3	23	7	16	1246	22035	914	5833
121001	Baikal-Patom Foldbelt Riphean-Craton Margin Vendian	Gas	1	2005	2006	0	30210	30210	0	360	360	1	7400	7401	1611	46039	2194	11478	3617	76249	2554	18879	55	40	14	39	3616	76249	2554	18878
132201	North Sakhalin Neogene	Oil	754	1428	2182	162	22221	22383	4	161	165	785	5292	6077	2582	57451	2999	15156	4764	79835	3164	21234	46	28	5	29	4010	79673	3160	20449
200401	Madbi Amran/Qishn	Oil	649	1284	1933	0	17120	17120	31	281	312	680	4418	5098	2740	16982	924	6494	4673	34102	1236	11592	41	50	25	44	4025	34102	1204	10912
201401	North Oman Huqf/'Q'-Haushi	Oil	715	1313	2028	149	20189	20339	0	507	507	740	5185	5925	743	10112	443	2871	2771	30450	950	8796	73	67	53	67	2056	30301	950	8056
201601	North Oman Huqf-Shu'aiba	Oil	1259	1426	2685	536	7097	7633	7	51	58	1355	2660	4015	1304	8206	287	2959	3990	15839	345	6974	67	48	17	58	2731	15303	338	5620
201602	Middle Cretaceous Natih	Oil	1299	553	1852	616	2485	3100	0	100	100	1402	1067	2469	371	363	18	450	2224	3463	118	2919	83	90	85	85	925	2848	118	1517
